:START_ID,:END_ID,:type,article_id,od
基金,信用体系,在,2,在:基金:信用体系
双创,双创”政策措施,在,2,在:双创:双创”政策措施
双创”政策措施,双创,在,2,在:双创”政策措施:双创
福州,泉州,在,"2,50,94,237,277,299,307,308,406,468,543,554,632,639,761,773,783,820,838,842,847,872,892",在:福州:泉州
民间资本,充实吸引民间投资重点项目库，常态化向民间资本,在,2,在:民间资本:充实吸引民间投资重点项目库，常态化向民间资本
充实吸引民间投资重点项目库，常态化向民间资本,重点领域,在,2,在:充实吸引民间投资重点项目库，常态化向民间资本:重点领域
加普惠性学前教育、健康、养老等服务供给，鼓励民间资本,能源,在,2,在:加普惠性学前教育、健康、养老等服务供给，鼓励民间资本:能源
市场准入,非禁即入,在,"2,761",在:市场准入:非禁即入
市场准入,全国一张清单,在,2,在:市场准入:全国一张清单
高职院校,二级办学机构,在,2,在:高职院校:二级办学机构
二级办学机构,人才,在,2,在:二级办学机构:人才
省发改委,职业院校,在,2,在:省发改委:职业院校
职业院校,产教融合,在,"2,271,413",在:职业院校:产教融合
二元制,人才,在,"2,271,275,413,728",在:二元制:人才
福建省,互联网+”大学生创新创业大赛等平台作用，发掘和培育一批“双创,在,2,在:福建省:互联网+”大学生创新创业大赛等平台作用，发掘和培育一批“双创
职业教育,公共实训基地,在,"2,271",在:职业教育:公共实训基地
公共实训基地,中小企业,在,2,在:公共实训基地:中小企业
中小企业,技能竞赛,在,2,在:中小企业:技能竞赛
职业院校,互联网+,在,2,在:职业院校:互联网+
互联网+,培训,在,"2,313,833",在:互联网+:培训
中小企业,科技小巨人领军企业,在,2,在:中小企业:科技小巨人领军企业
科技小巨人领军企业,高新技术企业,在,"2,590,596,843,846",在:科技小巨人领军企业:高新技术企业
高新技术企业,梯级培育机制,在,2,在:高新技术企业:梯级培育机制
梯级培育机制,高新技术企业,在,2,在:梯级培育机制:高新技术企业
大赛,创新创业大赛，打造大众创业、万众创新,在,2,在:大赛:创新创业大赛，打造大众创业、万众创新
金融,中小微企业,在,2,在:金融:中小微企业
中小企业,培训,在,"2,30,73,83,833",在:中小企业:培训
培训,中小企业,在,"2,275,833",在:培训:中小企业
中小企业,中小企业与技工院校,在,2,在:中小企业:中小企业与技工院校
中小企业与技工院校,培训,在,2,在:中小企业与技工院校:培训
新增建设用地,土地利用总体规划确定的城镇建设用地范围内，使用已批准建设用地进行建设的项目,在,2,在:新增建设用地:土地利用总体规划确定的城镇建设用地范围内，使用已批准建设用地进行建设的项目
土地利用总体规划确定的城镇建设用地范围内，使用已批准建设用地进行建设的项目,土地利用总体规划确定的城镇建设用地范围内，使用已批准建设用地进行建设的项目，可不进行建设项目用地,在,2,在:土地利用总体规划确定的城镇建设用地范围内，使用已批准建设用地进行建设的项目:土地利用总体规划确定的城镇建设用地范围内，使用已批准建设用地进行建设的项目，可不进行建设项目用地
环评,审批,在,"2,694,761,892",在:环评:审批
审批,土地出让合同,在,2,在:审批:土地出让合同
土地出让合同,环评,在,2,在:土地出让合同:环评
减证便民,审批,在,2,在:减证便民:审批
环评,中介市场,在,2,在:环评:中介市场
一刀切,执法,在,2,在:一刀切:执法
一城一策,房价,在,2,在:一城一策:房价
房地产,民营住房租赁企业、物业服务企业,在,2,在:房地产:民营住房租赁企业、物业服务企业
中小企业,农产品,在,2,在:中小企业:农产品
农产品,加工副产物综合利用典型,在,2,在:农产品:加工副产物综合利用典型
乡村,旅游,在,"2,297,503,836",在:乡村:旅游
乡村,农业精品园区,在,2,在:乡村:农业精品园区
农业精品园区,农庄,在,2,在:农业精品园区:农庄
农庄,和省级休闲农业示范点,在,2,在:农庄:和省级休闲农业示范点
和省级休闲农业示范点,乡村,在,2,在:和省级休闲农业示范点:乡村
旅游,乡村,在,"2,836,862",在:旅游:乡村
培训,创业创新,在,"2,833",在:培训:创业创新
创业创新,人才,在,2,在:创业创新:人才
福建省,创业创新,在,"2,5",在:福建省:创业创新
助保贷,银行,在,2,在:助保贷:银行
银行,合作协议,在,2,在:银行:合作协议
合作协议,金融机构,在,2,在:合作协议:金融机构
金融机构,中小企业,在,"2,469,503",在:金融机构:中小企业
中小企业,融资,在,"2,73,83,138,282,298,503,820,906",在:中小企业:融资
服务贸易,国际市场,在,2,在:服务贸易:国际市场
海外分支机构,国际认证,在,2,在:海外分支机构:国际认证
国际认证,一带一路,在,2,在:国际认证:一带一路
一带一路,服务贸易,在,2,在:一带一路:服务贸易
电子商务,数字化,在,2,在:电子商务:数字化
数字化,数字化、网络化、智能化,在,"2,299,308,684,904",在:数字化:数字化、网络化、智能化
民营企业,知识产权质押,在,"2,824",在:民营企业:知识产权质押
知识产权质押,融资,在,"2,314,315,824",在:知识产权质押:融资
银行,知识产权,在,2,在:银行:知识产权
知识产权,信贷,在,"2,824",在:知识产权:信贷
信贷,专利权,在,"2,824",在:信贷:专利权
专利权,知识产权,在,"2,755,824",在:专利权:知识产权
知识产权,融资,在,"2,273,478,824,843",在:知识产权:融资
知识产权质押,贷款,在,"2,274,684",在:知识产权质押:贷款
贷款,贴息政策,在,"2,560",在:贷款:贴息政策
贴息政策,民营企业,在,2,在:贴息政策:民营企业
贷款,保险业务,在,2,在:贷款:保险业务
集成电路,福建省,在,2,在:集成电路:福建省
福建省,十三五,在,"2,173,236,794,872",在:福建省:十三五
十三五,新兴产业,在,"2,236,302,404",在:十三五:新兴产业
福建省,自主知识产权,在,2,在:福建省:自主知识产权
自主知识产权,产业导航,在,2,在:自主知识产权:产业导航
产业导航,大数据,在,2,在:产业导航:大数据
大数据,民营经济,在,2,在:大数据:民营经济
知识产权,知识产权服务,在,"2,824",在:知识产权:知识产权服务
知创中国”与“知创福建,知识产权,在,"2,824",在:知创中国”与“知创福建:知识产权
知识产权,公共服务平台,在,2,在:知识产权:公共服务平台
公共服务平台,知识产权,在,2,在:公共服务平台:知识产权
民营企业,福建省,在,2,在:民营企业:福建省
福建省,装备制造业,在,2,在:福建省:装备制造业
装备制造业,知识产权,在,2,在:装备制造业:知识产权
互联网+”等信息化手段强化知识产权保护能力，在相关重点领域继续开展“护航,执法,在,2,在:互联网+”等信息化手段强化知识产权保护能力，在相关重点领域继续开展“护航:执法
执法,违法行为,在,"2,277,328",在:执法:违法行为
中小企业,中小工业企业,在,2,在:中小企业:中小工业企业
银行,金融机构,在,"2,22,270,271,273,274,282,314,315,469,472,503,508,509,529,536,560,566,584,623,636,684,761,789,790,817,828,834,838,885,906,908",在:银行:金融机构
金融机构,民营企业,在,"2,273",在:金融机构:民营企业
民营企业,愿贷、敢贷、会贷,在,2,在:民营企业:愿贷、敢贷、会贷
民营企业,融资,在,"2,273,329,478,585,761,790",在:民营企业:融资
上市,中小企业,在,2,在:上市:中小企业
中小企业,上市,在,2,在:中小企业:上市
上市,融资,在,"2,271,282,314,315,903,904",在:上市:融资
新三板,融资,在,2,在:新三板:融资
融资,民营企业,在,"2,273,314,315,406,790",在:融资:民营企业
民营企业,银行,在,"2,790",在:民营企业:银行
银行,银行间市场和沪深交易所,在,2,在:银行:银行间市场和沪深交易所
银行间市场和沪深交易所,融资,在,2,在:银行间市场和沪深交易所:融资
融资,风险,在,"2,22,151,231,270,274,280,313,478,503,834,885,908",在:融资:风险
风险,民营企业,在,"2,478",在:风险:民营企业
金融,民营企业,在,"2,790",在:金融:民营企业
民营企业,小微企业,在,"2,273,508,790,817",在:民营企业:小微企业
小微企业,金融,在,"2,311,560,585,738,790",在:小微企业:金融
金融,融资,在,"2,293,311,536,585,666,783,808,815,817,843,885",在:金融:融资
福建省,金融,在,"2,28,273,318,319,327,412,436,458,508,540,560,585,666,713,817,839",在:福建省:金融
金融,服务实体经济十佳金融机构”“十强金融机构,在,2,在:金融:服务实体经济十佳金融机构”“十强金融机构
中小企业,内外市场,在,2,在:中小企业:内外市场
海关,国际市场,在,2,在:海关:国际市场
培训,经贸摩擦,在,2,在:培训:经贸摩擦
预警,经贸摩擦,在,2,在:预警:经贸摩擦
经贸摩擦,经贸摩擦预,在,2,在:经贸摩擦:经贸摩擦预
经贸摩擦预,经贸摩擦预警,在,2,在:经贸摩擦预:经贸摩擦预警
民营经济,民营企业,在,"2,273",在:民营经济:民营企业
工商联,商会组织,在,2,在:工商联:商会组织
商会组织,民营企业,在,"2,285,606",在:商会组织:民营企业
工商联,思想库”和“智囊团,在,2,在:工商联:思想库”和“智囊团
融资,融资难题，引导企业用好省级纾困基金,在,2,在:融资:融资难题，引导企业用好省级纾困基金
融资难题，引导企业用好省级纾困基金,纾困专项债,在,2,在:融资难题，引导企业用好省级纾困基金:纾困专项债
民营企业,混合所有制经济,在,2,在:民营企业:混合所有制经济
走出去,培训,在,2,在:走出去:培训
培训,风险,在,2,在:培训:风险
民营企业,科技创新项目,在,2,在:民营企业:科技创新项目
科技创新项目,人才,在,2,在:科技创新项目:人才
人才,民营企业,在,"2,478",在:人才:民营企业
民营企业,6·18”、“9·8,在,2,在:民营企业:6·18”、“9·8
6·18”、“9·8,人才,在,2,在:6·18”、“9·8:人才
民营经济,落实情况,在,2,在:民营经济:落实情况
落实情况,中小微企业,在,2,在:落实情况:中小微企业
政府部门,国有企业,在,"2,478,503,809,838",在:政府部门:国有企业
民营企业,账款,在,"2,273,314,315,478,738",在:民营企业:账款
银行,贷款,在,"2,22,151,224,231,238,297,406,458,478,526,542,549,554,559,560,566,584,585,588,632,668,680,862,903,906,908",在:银行:贷款
实体经济,信贷,在,2,在:实体经济:信贷
小微企业,贷款,在,"2,270,273,282,311,375,418,458,463,478,503,560,790,834",在:小微企业:贷款
贷款,贷款发放，加强无贷户的首贷,在,2,在:贷款:贷款发放，加强无贷户的首贷
金融,贷款,在,"2,23,314,315,458,556,583,585,636,755,771,806,827,862,903",在:金融:贷款
贷款,审批,在,"2,22,540,556,904",在:贷款:审批
审批,一刀切,在,2,在:审批:一刀切
一刀切,信贷,在,2,在:一刀切:信贷
信贷,金融,在,"2,540,585",在:信贷:金融
小微企业,账款,在,"2,4,828",在:小微企业:账款
融资,“产融云,在,2,在:融资:“产融云
“产融云,金融,在,2,在:“产融云:金融
绿色票据,绿色票据、并购票据,在,2,在:绿色票据:绿色票据、并购票据
绿色票据、并购票据,融资,在,2,在:绿色票据、并购票据:融资
金融,金融专项债,在,2,在:金融:金融专项债
福建省,征信业务综合平台,在,2,在:福建省:征信业务综合平台
征信业务综合平台,金融机构关注度高、时间节点性强、对防范信贷风险有重要意义,在,2,在:征信业务综合平台:金融机构关注度高、时间节点性强、对防范信贷风险有重要意义
金融机构关注度高、时间节点性强、对防范信贷风险有重要意义,银行,在,2,在:金融机构关注度高、时间节点性强、对防范信贷风险有重要意义:银行
福建省,税务局,在,"2,16,25,26,82,146,147,161,174,185,203,253,277,356,357,383,386,481,495,496,539,547,594,674,741,783,803,858,859",在:福建省:税务局
党中央,国务院,在,"2,528,803,830,860",在:党中央:国务院
国务院,增值税改革,在,2,在:国务院:增值税改革
增值税改革,创业创新,在,2,在:增值税改革:创业创新
中小企业,税收优惠政策,在,2,在:中小企业:税收优惠政策
税收优惠政策,税收优惠政策的宣传工作,在,2,在:税收优惠政策:税收优惠政策的宣传工作
税收优惠政策的宣传工作,纳税人,在,2,在:税收优惠政策的宣传工作:纳税人
纳税人,税收优惠政策,在,2,在:纳税人:税收优惠政策
税务证明,纳税人,在,2,在:税务证明:纳税人
纳税人,纳税人办理相关涉税事项的资料，确保2019年底前对纳税人,在,2,在:纳税人:纳税人办理相关涉税事项的资料，确保2019年底前对纳税人
福州,海关,在,"2,16,25,82,274,383,418,543,741,780,783,872,903",在:福州:海关
一号工程,跨境贸易便利化,在,2,在:一号工程:跨境贸易便利化
日分析、周通报、月总结,预警,在,2,在:日分析、周通报、月总结:预警
海关,一个系统、一次受理,在,2,在:海关:一个系统、一次受理
中小企业,银行,在,2,在:中小企业:银行
一带一路,中小企业,在,2,在:一带一路:中小企业
小微企业,小微企业的成长过程、发展特点,在,2,在:小微企业:小微企业的成长过程、发展特点
贷款,小微企业,在,"2,403,478,536",在:贷款:小微企业
银行,保险机构,在,"2,418",在:银行:保险机构
保险机构,贷款,在,2,在:保险机构:贷款
小微企业,融资,在,"2,11,62,231,270,282,297,418,503,509,834,838,862",在:小微企业:融资
两禁两限,两禁两限”基础上，鼓励有条件,在,2,在:两禁两限:两禁两限”基础上，鼓励有条件
两禁两限”基础上，鼓励有条件,银行,在,2,在:两禁两限”基础上，鼓励有条件:银行
银行,落实情况,在,2,在:银行:落实情况
银行,负面清单,在,2,在:银行:负面清单
贷款,律法规,在,2,在:贷款:律法规
银行,小微企业,在,"2,311,478",在:银行:小微企业
小微企业,组织架构,在,2,在:小微企业:组织架构
保险机构,政司银保企信息,在,2,在:保险机构:政司银保企信息
银行,金融,在,"2,458,540,669,817",在:银行:金融
审批,贷款,在,"2,22,556",在:审批:贷款
银行,互联网+大数据+金融+税务,在,2,在:银行:互联网+大数据+金融+税务
互联网+大数据+金融+税务,信贷,在,2,在:互联网+大数据+金融+税务:信贷
股东,融资,在,2,在:股东:融资
融资,融资，降低股权质押比率,在,2,在:融资:融资，降低股权质押比率
融资，降低股权质押比率,风险,在,2,在:融资，降低股权质押比率:风险
中小微企业,融资,在,"2,4,231,406,509,585,636",在:中小微企业:融资
中小企业,金融,在,"2,73,536,828,888",在:中小企业:金融
平潭综合实验区,金融,在,"3,5,8,16,18,25,66,75,76,85,147,153,154,155,184,196,224,225,226,227,228,318,382,383,470,472,481,485,492,513,534,560,577,585,674,727,741,748,778,789,811,839,867,870,887,898",在:平潭综合实验区:金融
中小企业,专精特新,在,"3,29,841,898",在:中小企业:专精特新
专精特新,省政府,在,3,在:专精特新:省政府
龙头企业,关键零部件,在,"3,348,450,898",在:龙头企业:关键零部件
关键零部件,关键零部件、关键元器件,在,"3,898",在:关键零部件:关键零部件、关键元器件
发明专利,软件著作权,在,"3,898",在:发明专利:软件著作权
软件著作权,专有技术,在,"3,898",在:软件著作权:专有技术
专有技术,自主知识产权,在,"3,898",在:专有技术:自主知识产权
发明专利,专有技术,在,"3,898",在:发明专利:专有技术
平潭综合实验区,财政部,在,"3,160,898",在:平潭综合实验区:财政部
财政部,福建省,在,"3,898",在:财政部:福建省
福建省,专精特新,在,"3,8,14,76,346,348,360,450,451,705,750,753,759,760,898",在:福建省:专精特新
专精特新,中小企业,在,"3,8,14,29,76,83,282,346,348,360,450,451,705,737,750,753,759,760,841,898",在:专精特新:中小企业
企业法人,营业执照,在,"3,31,348,450,760,832,898",在:企业法人:营业执照
关键零部件、关键元器件,地位说明材料,在,"3,898",在:关键零部件、关键元器件:地位说明材料
专有技术,新技术、新产业、新业态、新模式,在,3,在:专有技术:新技术、新产业、新业态、新模式
审核,福建省,在,"3,75,222,477,674,750",在:审核:福建省
福州,厦门,在,"3,496,757,783,794,817,818,838,842,872,903",在:福州:厦门
厦门,漳州,在,"3,237,817",在:厦门:漳州
漳州,泉州,在,"3,62,237,239,240,277,457,552,562,701,737,796,817,847,892",在:漳州:泉州
泉州,莆田,在,"3,12,62,237,277,457,701,783,817,892",在:泉州:莆田
莆田,平潭综合实验区,在,"3,299,308",在:莆田:平潭综合实验区
附件,省工信厅,在,"3,4,469,520",在:附件:省工信厅
省工信厅,福建省,在,"3,348,450,753",在:省工信厅:福建省
中小企业,省工信厅,在,3,在:中小企业:省工信厅
省工信厅,省工信厅、财政厅,在,"3,8,11,277,485,536,623,773,775,781,805,806,812",在:省工信厅:省工信厅、财政厅
省工信厅、财政厅,中小企业,在,"3,773",在:省工信厅、财政厅:中小企业
中小企业,财政部,在,"3,485",在:中小企业:财政部
省工信厅,中小企业,在,"3,4,8,10,14,457,469,472,750,773,789,812,841",在:省工信厅:中小企业
福州,金融,在,"4,11,23,62,130,543",在:福州:金融
金融,平潭综合实验区,在,"4,870",在:金融:平潭综合实验区
平潭综合实验区,银行,在,"4,229",在:平潭综合实验区:银行
银行,银行省内各设区市中心支行,在,4,在:银行:银行省内各设区市中心支行
银行省内各设区市中心支行,平潭综合实验区,在,4,在:银行省内各设区市中心支行:平潭综合实验区
平潭综合实验区,福州,在,"4,11,23,28,29,62,115,130,446,477",在:平潭综合实验区:福州
融资,中小微企业,在,"4,231,458,560,585,838",在:融资:中小微企业
融资,账款,在,"4,282,314,315,458,503,540,585,790",在:融资:账款
融资,中小企业,在,"4,231,282,469,503,540,820",在:融资:中小企业
中小企业,金融机构,在,"4,66,820",在:中小企业:金融机构
银行,账款,在,"4,282,314,315,540",在:银行:账款
融资,小微企业,在,"4,11,231,270,418,478,503,560,834",在:融资:小微企业
账款,贷款,在,"4,314,315,680",在:账款:贷款
贷款,融资,在,"4,23,231,274,280,536,560,585,588,771,838,908",在:贷款:融资
融资,银行,在,"4,231,273,478,560,669,698,797,828",在:融资:银行
省工信厅,专项资金,在,4,在:省工信厅:专项资金
专项资金,账款,在,4,在:专项资金:账款
省工信厅,账款,在,4,在:省工信厅:账款
银行,融资,在,"4,22,273,458,529,566,669,797,817,820,838,862",在:银行:融资
融资,附件,在,"4,11,22",在:融资:附件
人行福州中心支行,信贷,在,4,在:人行福州中心支行:信贷
附件,账款,在,"4,469",在:附件:账款
银行,福州,在,"4,151,229,271,329,458,529,543,560,585,820",在:银行:福州
中小企业,小型微型企业,在,"5,14,18,27,472,789",在:中小企业:小型微型企业
小型微型企业,创业创新,在,"5,12,14,18,51,59,75,472,503,639,789",在:小型微型企业:创业创新
审核,省工信厅,在,"5,8,851",在:审核:省工信厅
省工信厅,审核,在,"5,8,11,348",在:省工信厅:审核
审核,厦门市,在,5,在:审核:厦门市
厦门市,福建省,在,5,在:厦门市:福建省
创业创新,小型微型企业,在,"5,12,503,639",在:创业创新:小型微型企业
省级财政,示范基地,在,"5,906",在:省级财政:示范基地
示范基地,福建省,在,"5,869",在:示范基地:福建省
福建省,专项资金,在,"5,7,153,226,257,310,644,674,744,870",在:福建省:专项资金
厦门市,厦门市软件园三期创新社区,在,5,在:厦门市:厦门市软件园三期创新社区
厦门市软件园三期创新社区,专项资金,在,5,在:厦门市软件园三期创新社区:专项资金
专项资金,专项资金补助，所需资金,在,5,在:专项资金:专项资金补助，所需资金
专项资金补助，所需资金,厦门市,在,5,在:专项资金补助，所需资金:厦门市
示范基地,省工信厅,在,5,在:示范基地:省工信厅
省工信厅,省财政厅,在,"5,8,160,472,529,789",在:省工信厅:省财政厅
泉州,高校,在,"7,80",在:泉州:高校
能源,新兴产业,在,"7,160,198,231,257,446,870,903",在:能源:新兴产业
氟化工产业,省政府,在,7,在:氟化工产业:省政府
萤石,氟化工产业,在,7,在:萤石:氟化工产业
氟化工产业,萤石,在,7,在:氟化工产业:萤石
产业园区,氟化工产业,在,7,在:产业园区:氟化工产业
省发改委,工信厅,在,"7,158,271,274,277,316,318,463,530,545,684,738,781,784,805,806,808,815,818",在:省发改委:工信厅
工信厅,工信厅、生态环境厅,在,"7,277,328,708",在:工信厅:工信厅、生态环境厅
龙头企业,科研院所,在,7,在:龙头企业:科研院所
科研院所,臭氧,在,7,在:科研院所:臭氧
萤石,化工园区,在,7,在:萤石:化工园区
专项资金,萤石,在,7,在:专项资金:萤石
产业化,产业化、集约化,在,7,在:产业化:产业化、集约化
泉州,工信厅,在,7,在:泉州:工信厅
萤石,采选矿工艺,在,7,在:萤石:采选矿工艺
采选矿工艺,萤石,在,7,在:采选矿工艺:萤石
萤石,开采回采率,在,7,在:萤石:开采回采率
开采回采率,选矿回收率,在,7,在:开采回采率:选矿回收率
基础设施,人才,在,7,在:基础设施:人才
氟化工项目,明溪氟新材料产业园,在,7,在:氟化工项目:明溪氟新材料产业园
明溪氟新材料产业园,南平市邵武金塘工业区,在,7,在:明溪氟新材料产业园:南平市邵武金塘工业区
南平市邵武金塘工业区,顺昌金山新材料产业园,在,7,在:南平市邵武金塘工业区:顺昌金山新材料产业园
顺昌金山新材料产业园,漳平市新材料产业园,在,7,在:顺昌金山新材料产业园:漳平市新材料产业园
污水,监控装置,在,7,在:污水:监控装置
监控装置,风险,在,7,在:监控装置:风险
污水,危险废物,在,7,在:污水:危险废物
危险废物,危险废物集中处理处置,在,7,在:危险废物:危险废物集中处理处置
危险废物集中处理处置,基础设施,在,7,在:危险废物集中处理处置:基础设施
基础设施,专项资金,在,7,在:基础设施:专项资金
省工信厅,省工信厅、发改委、财政厅、应急厅、生态环境厅,在,7,在:省工信厅:省工信厅、发改委、财政厅、应急厅、生态环境厅
省工信厅、发改委、财政厅、应急厅、生态环境厅,省工信厅、发改委、财政厅、应急厅、生态环境厅、商务厅,在,7,在:省工信厅、发改委、财政厅、应急厅、生态环境厅:省工信厅、发改委、财政厅、应急厅、生态环境厅、商务厅
省工信厅,省工信厅、发改委、财政厅、生态环境厅,在,7,在:省工信厅:省工信厅、发改委、财政厅、生态环境厅
省工信厅、发改委、财政厅、生态环境厅,省工信厅、发改委、财政厅、生态环境厅、商务厅,在,7,在:省工信厅、发改委、财政厅、生态环境厅:省工信厅、发改委、财政厅、生态环境厅、商务厅
工信厅,工信厅、财政厅，三明、南平和龙岩市政府,在,7,在:工信厅:工信厅、财政厅，三明、南平和龙岩市政府
氟化工项目,福建省,在,7,在:氟化工项目:福建省
省工信厅,省工信厅，三明、南平和龙岩市政府,在,7,在:省工信厅:省工信厅，三明、南平和龙岩市政府
氟化工企业,省级财政,在,7,在:氟化工企业:省级财政
省级财政,专项资金,在,"7,299,308,730",在:省级财政:专项资金
租赁合同,租赁合同明确合同,在,7,在:租赁合同:租赁合同明确合同
租赁合同明确合同,融资,在,7,在:租赁合同明确合同:融资
省工信厅,省工信厅、财政厅，三明、南平和龙岩市政府,在,7,在:省工信厅:省工信厅、财政厅，三明、南平和龙岩市政府
龙头企业,氟化工产业,在,7,在:龙头企业:氟化工产业
龙头企业,高校,在,"7,46,298,311,312,313,497,755,787,843,846",在:龙头企业:高校
高校,科研院所,在,"7,46,116,148,162,177,189,193,204,219,270,271,273,280,285,298,300,307,311,313,406,497,530,552,574,668,761,765,775,781,797,805,808,815,820,834,842,863,885,901,903",在:高校:科研院所
科研院所,基金,在,"7,298",在:科研院所:基金
基金,氟化工产业,在,7,在:基金:氟化工产业
龙头企业,法人,在,"7,189,298,775,808,815",在:龙头企业:法人
一事一议,一事一议”给予政策,在,7,在:一事一议:一事一议”给予政策
省科技厅,省科技厅、财政厅,在,"7,280,298,775,806",在:省科技厅:省科技厅、财政厅
省科技厅、财政厅,省科技厅、财政厅、发改委、教育厅，三明、南平和龙岩市政府,在,7,在:省科技厅、财政厅:省科技厅、财政厅、发改委、教育厅，三明、南平和龙岩市政府
氟化工企业,研发费用加计抵扣政策,在,7,在:氟化工企业:研发费用加计抵扣政策
省科技厅、财政厅,税务局,在,7,在:省科技厅、财政厅:税务局
税务局,税务局，三明、南平和龙岩市政府,在,7,在:税务局:税务局，三明、南平和龙岩市政府
职业院校,订单,在,7,在:职业院校:订单
订单,现代学徒制,在,7,在:订单:现代学徒制
现代学徒制,培训,在,7,在:现代学徒制:培训
氟化工产业,科学家,在,7,在:氟化工产业:科学家
科学家,高校,在,7,在:科学家:高校
科研院所,人才,在,"7,46,116,299,307,308,311",在:科研院所:人才
人才,海纳百川,在,"7,906",在:人才:海纳百川
