word,label
就,O
业,O
人,B-Org
行,I-Org
福,I-Org
州,I-Org
中,I-Org
心,I-Org
支,I-Org
行,E-Org
、,O
福,B-Dep
建,I-Dep
银,I-Dep
保,I-Dep
监,I-Dep
局,E-Dep
负,O
责,O
对,O
银,B-Org
行,E-Org
业,O
金,B-Org
融,I-Org
机,I-Org
构,E-Org
进,O
行,O
年,O
度,O
考,O
核,O
，,O
地,O
方,O
法,B-Per
人,E-Per
银,B-Org
行,E-Org
机,O
构,O
按,O
照,O
宏,O
观,O
审,O
慎,O
管,O
理,O
框,O
架,O
要,O
求,O
考,O
核,O
，,O
对,O
考,O
核,O
优,O
秀,O
的,O
给,O
予,O
监,O
管,O
正,O
向,O
激,O
励,O
将,O
鼓,O
励,O
类,O
氟,B-Ent
化,I-Ent
工,I-Ent
产,I-Ent
业,E-Ent
项,O
目,O
列,O
入,O
金,B-Org
融,I-Org
机,I-Org
构,E-Org
重,O
点,O
支,O
持,O
范,O
围,O
，,O
鼓,O
励,O
开,O
展,O
股,O
权,O
、,O
自,B-Ent
主,I-Ent
知,I-Ent
识,I-Ent
产,I-Ent
权,E-Ent
质,O
押,O
等,O
信,B-Eve
贷,E-Eve
业,O
务,O
联,O
合,O
金,B-Dep
融,I-Dep
部,I-Dep
门,E-Dep
解,O
决,O
民,O
企,O
融,B-Eve
资,E-Eve
难,O
题,O
，,O
引,O
导,O
企,O
业,O
用,O
好,O
省,O
级,O
纾,B-Eve
困,I-Eve
基,I-Eve
金,E-Eve
、,O
纾,B-Eve
困,I-Eve
专,I-Eve
项,I-Eve
债,E-Eve
（,O
八,O
）,O
动,O
力,O
电,O
池,O
和,O
稀,B-Ent
土,E-Ent
石,B-Ent
墨,I-Ent
烯,E-Ent
新,O
材,O
料,O
产,O
业,O
集,O
群,O
.,O
福,B-Loc
建,I-Loc
省,E-Loc
年,O
第,O
一,O
批,O
拟,O
入,O
库,O
备,O
案,O
省,O
级,O
高,B-Org
新,I-Org
技,I-Org
术,I-Org
企,I-Org
业,E-Org
名,O
单,O
（,O
补,O
充,O
）,O
商,O
务,O
部,O
门,O
主,O
要,O
负,O
责,O
真,O
实,O
性,O
审,B-Eve
核,E-Eve
，,O
财,B-Dep
政,I-Dep
部,E-Dep
门,O
主,O
要,O
负,O
责,O
程,O
序,O
性,O
审,B-Eve
核,E-Eve
通,O
知,O
及,O
附,B-Ent
件,E-Ent
.,O
福,B-Loc
建,I-Loc
省,E-Loc
科,O
技,O
创,B-Eve
新,I-Eve
券,E-Eve
补,O
助,O
专,B-Eve
项,I-Eve
资,I-Eve
金,E-Eve
管,O
理,O
办,O
法,O
第,O
一,O
章,O
请,O
各,O
单,O
位,O
按,O
照,O
附,B-Ent
件,E-Ent
规,O
定,O
的,O
格,O
式,O
，,O
于,O
月,O
日,O
前,O
将,O
相,O
关,O
军,O
民,O
融,O
合,O
科,B-Eve
技,I-Eve
成,I-Eve
果,E-Eve
和,O
科,B-Org
研,I-Org
院,I-Org
所,E-Org
拟,O
签,O
约,O
军,O
民,O
融,O
合,O
科,O
技,O
项,O
目,O
报,O
送,O
省,O
科,O
技,O
厅,O
成,O
果,O
处,O
，,O
同,O
时,O
发,O
送,O
电,O
子,O
版,O
到,O
@,O
.,O
.,O
.,O
政,O
府,O
主,O
导,O
和,O
支,O
持,O
的,O
展,O
会,O
活,O
动,O
（,O
类,O
）,O
：,O
根,O
据,O
商,O
务,O
部,O
、,O
省,B-Dep
政,I-Dep
府,E-Dep
工,O
作,O
指,O
示,O
以,O
及,O
我,O
省,O
与,O
兄,O
弟,O
省,O
市,O
（,O
自,O
治,O
区,O
）,O
之,O
间,O
的,O
友,O
好,O
合,O
作,O
和,O
对,O
口,O
支,O
援,O
需,O
要,O
，,O
支,O
持,O
企,O
业,O
参,O
与,O
场,O
由,O
政,O
府,O
主,O
导,O
的,O
、,O
或,O
与,O
商,O
贸,O
服,O
务,O
行,O
业,O
相,O
关,O
的,O
展,O
会,O
项,O
目,O
（,O
见,O
附,B-Ent
件,E-Ent
）,O
由,O
省,B-Dep
委,E-Dep
军,O
民,O
融,O
合,O
办,O
牵,O
头,O
，,O
省,O
军,O
区,O
办,O
公,O
室,O
，,O
省,B-Dep
发,I-Dep
改,I-Dep
委,E-Dep
、,O
科,O
技,O
厅,O
、,O
工,B-Dep
信,I-Dep
厅,E-Dep
等,O
部,O
门,O
（,O
单,O
位,O
）,O
共,O
同,O
主,O
办,O
的,O
“,O
福,B-Eve
建,I-Eve
军,I-Eve
民,I-Eve
融,I-Eve
合,I-Eve
项,I-Eve
目,I-Eve
成,I-Eve
果,I-Eve
对,I-Eve
接,I-Eve
会,I-Eve
暨,I-Eve
军,I-Eve
民,I-Eve
融,I-Eve
合,I-Eve
高,I-Eve
新,I-Eve
技,I-Eve
术,I-Eve
成,I-Eve
果,I-Eve
展,I-Eve
”,I-Eve
（,I-Eve
以,I-Eve
下,I-Eve
简,I-Eve
称,I-Eve
“,I-Eve
对,I-Eve
接,I-Eve
会,I-Eve
暨,I-Eve
成,I-Eve
果,I-Eve
展,E-Eve
”,O
）,O
将,O
于,O
今,O
年,O
·,S-Eve
期,O
间,O
在,O
福,B-Loc
州,E-Loc
举,O
行,O
地,O
址,O
：,O
福,B-Loc
州,E-Loc
市,O
鼓,O
楼,O
区,O
铜,O
盘,O
路,O
号,O
省,B-Dep
商,I-Dep
务,I-Dep
厅,E-Dep
按,O
照,O
不,O
超,O
过,O
年,O
月,O
日,O
中,O
国,O
人,O
民,O
银,B-Org
行,E-Org
公,O
布,O
的,O
最,O
近,O
一,O
期,O
人,O
民,O
币,O
年,O
期,O
贷,B-Eve
款,E-Eve
基,O
准,O
利,O
率,O
计,O
算,O
充,O
分,O
发,O
挥,O
国,O
家,O
融,B-Eve
资,E-Eve
担,O
保,O
基,B-Org
金,E-Org
作,O
用,O
，,O
引,O
导,O
更,O
多,O
金,O
融,B-Eve
资,E-Eve
源,O
支,O
持,O
创,O
业,O
就,B-Eve
业,E-Eve
责,O
任,O
单,O
位,O
：,O
省,B-Dep
教,I-Dep
育,I-Dep
厅,E-Dep
、,O
人,O
社,O
厅,O
、,O
民,O
政,O
厅,O
、,O
财,O
政,O
厅,O
、,O
市,O
场,O
监,O
管,O
局,O
，,O
各,O
相,O
关,O
行,O
业,O
主,O
管,O
部,O
门,O
，,O
各,O
设,O
区,O
市,O
人,B-Dep
民,I-Dep
政,I-Dep
府,E-Dep
、,O
平,O
潭,O
综,O
合,O
实,O
验,O
区,O
管,O
委,O
会,O
持,O
续,O
完,O
善,O
“,O
福,B-Eve
建,I-Eve
银,I-Eve
行,I-Eve
业,I-Eve
服,I-Eve
务,I-Eve
实,I-Eve
体,I-Eve
经,I-Eve
济,I-Eve
监,I-Eve
测,I-Eve
评,I-Eve
价,I-Eve
体,I-Eve
系,I-Eve
”,I-Eve
，,I-Eve
落,I-Eve
实,I-Eve
小,I-Eve
微,I-Eve
企,I-Eve
业,I-Eve
金,I-Eve
融,I-Eve
服,I-Eve
务,I-Eve
“,I-Eve
两,I-Eve
增,I-Eve
两,I-Eve
控,E-Eve
”,O
任,O
务,O
目,O
标,O
（,O
四,O
）,O
鼓,O
励,O
民,B-Org
营,I-Org
企,I-Org
业,E-Org
参,O
与,O
国,B-Org
有,I-Org
企,I-Org
业,E-Org
改,O
革,O
深,O
入,O
开,O
展,O
休,O
闲,O
农,O
业,O
精,O
品,O
品,O
牌,O
和,O
线,O
路,O
推,O
介,O
活,O
动,O
，,O
推,O
荐,O
入,O
选,O
一,O
批,O
全,O
国,O
休,O
闲,O
农,O
业,O
和,O
乡,B-Org
村,E-Org
旅,B-Eve
游,E-Eve
精,O
品,O
景,O
点,O
线,O
路,O
，,O
推,O
介,O
一,O
批,O
省,O
级,O
休,O
闲,O
农,O
业,O
乡,B-Org
村,E-Org
旅,B-Eve
游,E-Eve
精,O
品,O
线,O
路,O
推,O
动,O
一,O
流,O
学,O
科,O
建,O
设,O
高,B-Org
校,E-Org
、,O
示,O
范,O
性,O
应,O
用,O
型,O
本,O
科,O
高,B-Org
校,E-Org
与,O
设,O
区,O
市,O
组,O
建,O
区,O
域,O
创,O
新,O
联,O
盟,O
，,O
建,O
立,O
一,O
批,O
科,B-Eve
技,I-Eve
创,I-Eve
新,E-Eve
平,O
台,O
和,O
新,O
型,O
研,O
发,O
机,O
构,O
.,O
将,O
近,O
三,O
个,O
会,O
计,O
年,O
度,O
企,O
业,O
财,O
务,O
审,B-Eve
计,E-Eve
报,O
表,O
，,O
包,O
含,O
资,O
产,O
负,O
债,O
表,O
、,O
利,O
润,O
表,O
、,O
现,O
金,O
流,O
量,O
表,O
、,O
审,B-Eve
计,E-Eve
单,O
位,O
营,B-Ent
业,I-Ent
执,I-Ent
照,E-Ent
、,O
执,O
业,O
证,O
书,O
、,O
资,O
格,O
证,O
书,O
等,O
，,O
分,O
别,O
做,O
成,O
文,O
件,O
按,O
年,O
度,O
分,O
别,O
上,O
传,O
为,O
此,O
，,O
设,O
区,O
市,O
应,O
根,O
据,O
对,O
各,O
县,O
财,O
政,O
专,O
项,O
扶,B-Eve
贫,I-Eve
资,I-Eve
金,E-Eve
绩,O
效,O
考,O
评,O
结,O
果,O
再,O
奖,O
励,O
到,O
有,O
关,O
县,O
（,O
市,O
、,O
区,O
）,O
，,O
由,O
县,O
级,O
扶,O
贫,O
主,O
管,O
部,O
门,O
会,O
同,O
财,B-Dep
政,I-Dep
部,E-Dep
门,O
根,O
据,O
中,O
央,O
专,O
项,O
扶,B-Eve
贫,I-Eve
资,I-Eve
金,E-Eve
使,O
用,O
范,O
围,O
安,O
排,O
具,O
体,O
的,O
扶,O
贫,O
项,O
目,O
.,O
线,O
路,O
塔,O
（,O
杆,O
）,O
基,O
础,O
的,O
防,B-Ent
护,I-Ent
设,I-Ent
施,E-Ent
（,O
挡,O
土,O
墙,O
、,O
排,B-Ent
水,I-Ent
沟,E-Ent
、,O
截,O
水,O
沟,O
、,O
护,B-Ent
坡,E-Ent
等,O
）,O
、,O
配,O
变,O
台,O
区,O
、,O
箱,O
式,O
变,O
压,O
器,O
、,O
环,O
网,O
柜,O
、,O
电,O
缆,O
分,O
接,O
箱,O
以,O
实,O
际,O
占,O
用,O
面,O
积,O
计,O
算,O
对,O
未,O
按,O
合,O
同,O
规,O
定,O
归,O
还,O
的,O
逾,O
期,O
贷,B-Eve
款,E-Eve
利,O
息,O
、,O
加,O
息,O
、,O
罚,O
息,O
及,O
日,O
常,O
经,O
营,O
活,O
动,O
所,O
需,O
的,O
流,O
动,O
资,O
金,O
借,O
款,O
等,O
，,O
不,O
予,O
贴,B-Eve
息,E-Eve
三,O
、,O
请,O
各,O
设,O
区,O
市,O
商,O
务,O
局,O
和,O
平,B-Loc
潭,I-Loc
综,I-Loc
合,I-Loc
实,I-Loc
验,I-Loc
区,E-Loc
经,O
发,O
局,O
于,O
年,O
月,O
日,O
前,O
将,O
当,O
地,O
企,O
业,O
申,O
报,O
材,O
料,O
一,O
式,O
五,O
份,O
（,O
含,O
电,O
子,O
版,O
一,O
份,O
）,O
及,O
申,O
报,O
汇,O
总,O
表,O
（,O
见,O
附,B-Ent
件,E-Ent
）,O
送,O
省,B-Dep
商,I-Dep
务,I-Dep
厅,E-Dep
为,O
贯,O
彻,O
落,O
实,O
习,B-Per
近,I-Per
平,E-Per
新,O
时,O
代,O
中,B-Eve
国,I-Eve
特,I-Eve
色,I-Eve
社,I-Eve
会,I-Eve
主,I-Eve
义,I-Eve
思,I-Eve
想,E-Eve
和,O
党,O
的,O
十,O
九,O
大,O
关,O
于,O
建,O
设,O
海,O
洋,O
强,O
国,O
的,O
战,O
略,O
部,O
署,O
，,O
深,O
入,O
实,O
施,O
.,O
加,O
强,O
产,O
业,O
集,O
群,O
与,O
金,B-Eve
融,E-Eve
机,I-Org
构,E-Org
、,O
投,O
资,O
基,B-Org
金,E-Org
等,O
对,O
接,O
合,O
作,O
，,O
鼓,O
励,O
金,B-Eve
融,E-Eve
机,I-Org
构,E-Org
依,O
托,O
集,O
群,O
设,O
立,O
分,O
支,O
机,O
构,O
或,O
创,O
新,O
符,O
合,O
产,O
业,O
集,O
群,O
特,O
点,O
的,O
金,B-Eve
融,E-Eve
产,O
品,O
广,O
泛,O
发,O
放,O
至,O
各,O
工,B-Org
业,I-Org
园,I-Org
区,E-Org
、,O
企,O
业,O
、,O
学,O
校,O
、,O
培,B-Eve
训,E-Eve
及,O
鉴,O
定,O
机,O
构,O
附,B-Ent
件,E-Ent
：,O
福,B-Loc
建,I-Loc
省,E-Loc
就,B-Eve
业,E-Eve
“,O
红,B-Eve
娘,E-Eve
”,O
登,O
记,O
表,O
.,O
项,O
目,O
贴,B-Eve
息,E-Eve
申,B-Ent
请,I-Ent
表,E-Ent
（,O
项,B-Org
目,I-Org
申,I-Org
报,I-Org
单,I-Org
位,E-Org
填,O
报,O
）,O
地,O
方,O
法,B-Per
人,E-Per
金,B-Org
融,I-Org
机,I-Org
构,E-Org
借,O
用,O
人,O
民,O
银,B-Org
行,E-Org
支,O
农,O
（,O
扶,O
贫,O
）,O
再,O
贷,B-Eve
款,E-Eve
资,O
金,O
要,O
优,O
先,O
用,O
于,O
支,O
持,O
致,B-Per
富,I-Per
带,I-Per
头,I-Per
人,E-Per
创,O
办,O
项,O
目,O
和,O
贫,B-Per
困,I-Per
农,I-Per
户,E-Per
独,O
自,O
创,O
业,O
，,O
将,O
人,O
民,O
银,B-Org
行,E-Org
再,O
贷,B-Eve
款,E-Eve
优,O
惠,O
利,O
率,O
政,O
策,O
有,O
效,O
传,O
导,O
至,O
贫,O
困,O
地,O
区,O
涉,O
农,O
经,O
济,O
实,O
体,O
和,O
国,O
家,O
层,O
面,O
已,O
出,O
台,O
及,O
省,B-Dep
委,E-Dep
、,O
省,B-Dep
政,I-Dep
府,E-Dep
支,O
持,O
中,B-Org
小,I-Org
企,I-Org
业,E-Org
发,O
展,O
十,O
条,O
措,O
施,O
、,O
加,O
快,O
民,B-Org
营,I-Org
企,I-Org
业,E-Org
发,O
展,O
若,O
干,O
意,O
见,O
等,O
系,O
列,O
政,B-Eve
策,I-Eve
宣,I-Eve
贯,I-Eve
工,I-Eve
作,E-Eve
，,O
开,O
展,O
“,O
惠,B-Eve
企,I-Eve
政,I-Eve
策,I-Eve
入,I-Eve
百,I-Eve
园,I-Eve
进,I-Eve
万,I-Eve
企,E-Eve
”,O
活,O
动,O
，,O
加,O
强,O
解,O
读,O
培,B-Eve
训,E-Eve
，,O
扩,O
大,O
政,O
策,O
宣,O
传,O
覆,O
盖,O
面,O
省,B-Dep
商,I-Dep
务,I-Dep
厅,E-Dep
、,O
省,B-Dep
财,I-Dep
政,I-Dep
厅,E-Dep
按,O
照,O
职,O
责,O
开,O
展,O
专,B-Eve
项,I-Eve
资,I-Eve
金,E-Eve
执,O
行,O
情,O
况,O
监,O
督,O
检,O
查,O
，,O
对,O
在,O
资,O
金,O
使,O
用,O
管,O
理,O
方,O
面,O
违,O
反,O
财,O
经,O
制,O
度,O
的,O
，,O
将,O
按,O
有,O
关,O
规,O
定,O
进,O
行,O
处,O
罚,O
七,O
、,O
建,O
设,O
产,B-Eve
教,I-Eve
融,I-Eve
合,E-Eve
师,B-Per
资,I-Per
队,I-Per
伍,E-Per
广,O
泛,O
开,O
展,O
惠,O
企,O
政,O
策,O
宣,O
传,O
，,O
配,O
合,O
开,O
展,O
支,O
持,O
民,B-Org
营,I-Org
经,I-Org
济,E-Org
发,O
展,O
政,O
策,O
措,O
施,O
落,B-Eve
实,I-Eve
情,I-Eve
况,E-Eve
督,O
查,O
，,O
推,O
动,O
支,O
持,O
中,B-Org
小,I-Org
微,I-Org
企,I-Org
业,E-Org
发,O
展,O
、,O
促,O
进,O
民,O
间,O
投,O
资,O
的,O
政,O
策,O
措,O
施,O
落,O
地,O
见,O
效,O
（,O
二,O
）,O
各,O
设,O
区,O
市,O
（,O
除,O
厦,B-Loc
门,E-Loc
外,O
）,O
以,O
及,O
平,B-Loc
潭,I-Loc
综,I-Loc
合,I-Loc
实,I-Loc
验,I-Loc
区,E-Loc
互,O
联,O
网,O
经,O
济,O
牵,O
头,O
部,O
门,O
、,O
省,O
属,O
（,O
控,O
股,O
）,O
企,O
业,O
（,O
以,O
下,O
简,O
称,O
“,O
项,B-Eve
目,I-Eve
汇,I-Eve
总,I-Eve
单,I-Eve
位,E-Eve
”,O
）,O
商,O
当,O
地,O
财,B-Dep
政,I-Dep
部,E-Dep
门,O
，,O
严,O
格,O
按,O
照,O
本,O
通,O
知,O
及,O
福,B-Loc
建,I-Loc
省,E-Loc
人,B-Org
民,I-Org
政,I-Org
府,I-Org
办,I-Org
公,I-Org
厅,E-Org
关,O
于,O
印,O
发,O
家,O
政,O
服,O
务,O
业,O
补,O
短,O
板,O
实,O
施,O
方,O
案,O
的,O
通,O
知,O
二,O
、,O
其,O
他,O
小,B-Org
微,I-Org
企,I-Org
业,E-Org
普,B-Org
惠,I-Org
性,I-Org
税,I-Org
收,I-Org
减,I-Org
免,I-Org
政,I-Org
策,E-Org
按,O
照,O
财,O
税,O
〔,O
〕,O
号,O
文,O
件,O
相,O
关,O
规,O
定,O
执,O
行,O
获,O
得,O
创,B-Eve
新,I-Eve
券,E-Eve
补,O
助,O
的,O
科,O
技,O
型,O
中,B-Org
小,I-Org
企,I-Org
业,E-Org
、,O
创,O
客,O
和,O
入,B-Org
驻,I-Org
管,I-Org
理,I-Org
机,I-Org
构,E-Org
、,O
大,B-Org
仪,I-Org
产,I-Org
权,I-Org
单,I-Org
位,E-Org
应,O
自,O
觉,O
接,O
受,O
有,O
关,O
部,O
门,O
的,O
监,O
督,O
检,O
查,O
.,O
中,B-Org
小,I-Org
企,I-Org
业,E-Org
的,O
划,O
型,O
标,O
准,O
按,O
照,O
工,O
业,O
和,O
信,O
息,O
化,O
部,O
、,O
国,O
家,O
统,O
计,O
局,O
、,O
国,O
家,O
发,O
改,O
委,O
、,O
财,B-Dep
政,I-Dep
部,E-Dep
等,O
四,O
部,O
委,O
出,O
台,O
的,O
.,O
科,B-Org
研,I-Org
院,I-Org
所,E-Org
拟,O
在,O
本,O
次,O
对,O
接,O
会,O
上,O
签,O
约,O
的,O
军,O
民,O
融,O
合,O
科,O
技,O
项,O
目,O
（,O
附,B-Ent
件,E-Ent
）,O
（,O
三,O
）,O
已,O
经,O
立,O
项,O
且,O
仍,O
在,O
支,O
持,O
期,O
限,O
内,O
的,O
国,O
家,O
“,O
高,B-Eve
校,I-Eve
国,I-Eve
际,I-Eve
化,I-Eve
示,I-Eve
范,I-Eve
学,I-Eve
院,I-Eve
推,I-Eve
进,I-Eve
计,I-Eve
划,I-Eve
（,I-Eve
推,I-Eve
进,I-Eve
计,I-Eve
划,I-Eve
）,E-Eve
”,O
（,O
二,O
）,O
持,O
续,O
整,O
顿,O
规,O
范,O
房,B-Ent
地,I-Ent
产,E-Ent
开,O
发,O
、,O
销,O
售,O
、,O
中,O
介,O
行,O
为,O
，,O
加,O
强,O
房,B-Ent
地,I-Ent
产,E-Ent
行,O
业,O
信,B-Eve
用,I-Eve
体,I-Eve
系,E-Eve
建,O
设,O
，,O
营,O
造,O
诚,O
信,O
有,O
序,O
、,O
公,O
平,O
竞,O
争,O
的,O
行,O
业,O
环,O
境,O
，,O
加,O
快,O
培,O
育,O
发,O
展,O
民,B-Org
营,I-Org
住,I-Org
房,I-Org
租,I-Org
赁,I-Org
企,I-Org
业,E-Org
、,O
物,B-Org
业,I-Org
服,I-Org
务,I-Org
企,I-Org
业,E-Org
、,O
房,B-Org
地,I-Org
产,I-Org
中,I-Org
介,I-Org
机,I-Org
构,E-Org
（,O
五,O
）,O
全,O
面,O
落,O
实,O
市,B-Eve
场,I-Eve
准,I-Eve
入,E-Eve
负,B-Eve
面,I-Eve
清,I-Eve
单,E-Eve
，,O
推,O
动,O
“,O
非,B-Eve
禁,I-Eve
即,I-Eve
入,E-Eve
”,O
普,O
遍,O
落,O
实,O
（,O
三,O
）,O
大,B-Org
仪,I-Org
产,I-Org
权,I-Org
单,I-Org
位,E-Org
，,O
指,O
加,O
入,O
省,O
重,O
大,O
科,B-Eve
研,I-Eve
基,I-Eve
础,I-Eve
设,I-Eve
施,E-Eve
和,O
大,O
型,O
科,B-Eve
研,I-Eve
仪,I-Eve
器,E-Eve
服,O
务,O
平,O
台,O
管,O
理,O
的,O
重,O
大,O
科,B-Eve
研,I-Eve
基,I-Eve
础,I-Eve
设,I-Eve
施,E-Eve
和,O
大,O
型,O
科,B-Eve
研,I-Eve
仪,I-Eve
器,E-Eve
产,O
权,O
管,O
理,O
单,O
位,O
（,O
三,O
）,O
推,O
动,O
·,S-Eve
协,B-Org
同,I-Org
创,I-Org
新,I-Org
院,E-Org
建,O
设,O
.,O
在,O
国,O
外,O
著,O
名,O
高,B-Org
校,E-Org
、,O
科,B-Org
研,I-Org
院,I-Org
所,E-Org
担,O
任,O
相,O
当,O
于,O
副,O
教,O
授,O
及,O
以,O
上,O
职,O
务,O
、,O
职,O
称,O
的,O
专,O
家,O
学,O
者,O
;,O
各,O
高,B-Org
校,E-Org
登,O
录,O
福,B-Loc
建,I-Loc
省,E-Loc
毕,O
业,O
生,O
就,O
业,O
创,O
业,O
公,O
共,O
服,O
务,O
网,O
，,O
下,O
载,O
“,O
导,B-Eve
入,I-Eve
模,I-Eve
板,E-Eve
”,O
，,O
提,O
前,O
组,O
织,O
当,O
年,O
应,O
届,O
未,O
就,O
业,O
高,B-Org
校,E-Org
毕,O
业,O
生,O
完,O
成,O
线,O
下,O
实,O
名,O
信,O
息,O
登,O
记,O
，,O
并,O
于,O
当,O
年,O
月,O
日,O
前,O
导,O
入,O
福,B-Loc
建,I-Loc
省,E-Loc
毕,O
业,O
生,O
就,O
业,O
创,O
业,O
公,O
共,O
服,O
务,O
网,O
（,O
下,O
载,O
导,B-Eve
入,I-Eve
模,I-Eve
板,E-Eve
操,O
作,O
见,O
附,O
件,O
）,O
落,O
实,O
科,B-Eve
技,I-Eve
创,I-Eve
新,E-Eve
券,E-Eve
等,O
奖,O
励,O
政,O
策,O
，,O
促,O
进,O
各,O
类,O
科,B-Eve
技,I-Eve
创,I-Eve
新,E-Eve
公,B-Eve
共,I-Eve
服,I-Eve
务,I-Eve
平,I-Eve
台,E-Eve
创,O
新,O
资,O
源,O
向,O
民,B-Org
营,I-Org
企,I-Org
业,E-Org
开,O
放,O
共,O
享,O
加,O
大,O
对,O
优,O
秀,O
民,B-Org
营,I-Org
企,I-Org
业,E-Org
和,O
民,B-Org
营,I-Org
企,I-Org
业,E-Org
家,E-Per
的,O
宣,O
传,O
报,O
道,O
科,O
技,O
型,O
中,B-Org
小,I-Org
企,I-Org
业,E-Org
和,O
入,B-Org
驻,I-Org
管,I-Org
理,I-Org
机,I-Org
构,E-Org
在,O
系,O
统,O
上,O
提,O
交,O
给,O
属,O
地,O
设,O
区,O
市,O
科,O
技,O
局,O
、,O
平,B-Loc
潭,I-Loc
综,I-Loc
合,I-Loc
实,I-Loc
验,I-Loc
区,E-Loc
社,B-Dep
会,I-Dep
事,I-Dep
业,I-Dep
局,E-Dep
，,O
大,B-Org
仪,I-Org
产,I-Org
权,I-Org
单,I-Org
位,E-Org
提,O
交,O
给,O
省,O
大,O
仪,O
办,O
福,B-Loc
建,I-Loc
省,E-Loc
认,O
定,O
机,O
构,O
具,O
体,O
要,O
求,O
：,O
“,O
研,B-Eve
究,I-Eve
开,I-Eve
发,I-Eve
与,I-Eve
技,I-Eve
术,I-Eve
创,I-Eve
新,I-Eve
组,I-Eve
织,I-Eve
管,I-Eve
理,I-Eve
情,I-Eve
况,I-Eve
表,E-Eve
”,O
行,O
业,O
主,O
管,O
部,O
门,O
应,O
引,O
导,O
支,O
持,O
行,O
业,O
内,O
企,O
业,O
承,O
担,O
职,B-Org
业,I-Org
院,I-Org
校,E-Org
学,B-Per
生,E-Per
实,B-Eve
习,E-Eve
任,O
务,O
当,O
地,O
商,O
务,O
部,O
门,O
会,O
同,O
财,B-Dep
政,I-Dep
部,E-Dep
门,O
对,O
企,O
业,O
申,O
报,O
材,O
料,O
审,B-Eve
核,E-Eve
后,O
，,O
联,O
合,O
向,O
省,B-Dep
商,I-Dep
务,I-Dep
厅,E-Dep
、,O
省,B-Dep
财,I-Dep
政,I-Dep
