num,sentence,entity,compare,num
9,（5）企业与具有独立法人资格的合作高校或科研院所签订的申报项目技术合同复印件,(5）企业与具有独立法人资格的合作高校或科研院所签订的申报项目技术合同)复印件、(签订的申报项目技术合同)复印件、(申报)项目、复印件,,5）企业与具有独立法人资格的合作高校或科研院所签订的申报项目技术合同复印件
9,（6）提供企业支付合作方费用的证明材料（发票和汇款单）,企业、费用、材料、发票、汇款单,,6
9,（7）提供项目产品产业化及销售收入证明材料,(项目)产品、销售收入、材料,,7
9,（8）其他有关说明文件,(8）其他有关说明)文件、(其他有关说明)文件,,8）其他有关说明文件
9,如申报单位技术开发能力、项目相关知识产权、专利等证明材料,(申报)单位、能力、(项目相关知识)产权、专利、材料,,
9,工业企业优秀创新产品奖励,(工业)企业、产品,,
9,支持重点与奖励标准,标准,,
9,根据《福州市人民政府关于印发福州市工业企业优秀创新产品奖评审奖励办法的通知》（榕政综〔2017〕1896号）,(福州市人民政府关于印发福州市工业企业优秀创新产品奖评审奖励办法的)通知、榕政,,2017、1896号
9,凡在福州行政辖区内依法登记注册、具有独立法人资格的工业企业,(福州行政)辖区、内、登记注册、(具有独立法人资格的工业)企业、(工业)企业,,
9,其通过原始创新、集成创新和引进消化吸收再创新研制的新产品,(其通过原始创新、集成创新和引进消化吸收再创新研制的新)产品、(创新研制的新)产品、(新)产品,,
9,符合国家产业政策和我市产品结构调整方向,(符合国家产业政策和我市产品结构调整)方向、(我市)产品、结构调整、方向,,
9,质量性能稳定可靠,(质量)性能,,
9,技术水平先进,技术水平,,
9,市场竞争力强,(市场)竞争力,,
9,形成一定销售规模,(一定销售)规模,,
9,申报前一年度申报产品（单一型号）销售收入达一千万元以上,(申报)前、(单一)型号、销售收入、以上,,一千万元
9,近三年内获得与申报产品相关的专利,内、(申报)产品、专利,,三年
9,具有较好经济和社会效益的工业产品(不含软件产品)均可申报福州市工业企业优秀创新产品奖,(较好经济和社会效益的)工业产品、(不含软件)产品、(福州市工业)企业、奖,,
9,符合战略性新兴产业与高技术产业分类的企业产品优先,(战略性)新兴产业、(高技术)产业、(分类的企业)产品、(企业)产品,,
9,福州市工业企业优秀创新产品奖设,(福州市工业)企业、奖,,
9,申报要求,(申报)要求,,
9,产学研专项,,,
9,支持重点与补助标准,(补助)标准,,
9,企业与境内外高校、科研院所围绕战略性新兴产业培育需求,企业、境内外、科研院所、(战略性)新兴产业、需求,,
9,以突破重大产品的关键核心技术和实现产业化为目标,(重大)产品、(关键)核心技术、目标,,
9,围绕传统产业转型升级需求,传统产业、需求,,
9,采用高新技术改造传统产业,高新技术、传统产业,,
9,开发新技术、新产品,(开发新)技术、(新)产品,,
9,所实施的联合技术攻关、科技成果转化项目,(实施的联合)技术、(联合)技术、科技成果、(转化)项目,,
9,对已实现产业化的联合开发项目,(产业化的联合开发)项目、(联合开发)项目,,
9,企业支付给高等院校、科研院所的技术开发合作费用达20万元（含）以上的,(企业支付给高等院校、科研院所的技术开发合作)费用、(技术开发合作)费用、以上,,20万元
9,按照支付金额的50%对企业给予补助,(支付金额的50%对)企业、(50%对)企业,,50%对企业
9,单个企业最高补助50万元,(单个)企业、补助,,50万元
9,申报条件,(申报)条件,,
9,（1）项目申报单位为福州行政辖区内注册、具有独立法人资格的工业和信息化企业,(项目申报)单位、(福州行政)辖区、内、(注册、具有独立法人资格的)工业、(独立)法人资格、工业、(信息化)企业,,1
9,具有较强的技术开发和项目实施能力,(强的)技术开发、(技术开发和项目实施)能力、(实施)能力,,
9,（2）项目应符合国家产业政策,项目、(符合国家)产业政策,,2
9,具有创新性,创新性,,
9,涉及的知识产权归属明晰,(涉及的)知识产权,,
9,能有效带动相关产业转型升级和战略性新兴产业发展,(相关)产业、(战略性)新兴产业,,
9,符合战略性新兴产业与高技术产业分类的项目优先,(战略性)新兴产业、(高技术)产业、(分类的)项目,,
9,（3）项目由企业与高等院校、科研院所共同承担,项目、企业、高等院校、科研院所,,3
9,联合开展实质性的技术开发合作,实质性、技术开发,,
9,并已签订规范技术合同（合同需明确各自承担的任务、研发经费投入比例、研究成果归属、项目起止年限等内容）,(规范技术)合同、合同、(承担的)任务、(研发)经费、(比例、研究成果归属、项目起止年限等)内容、(项目起止)年限、内容,,
9,（4）项目应于2020年度完成并实现项目产品产业化及销售收入,项目、(2020)年度、(项目)产品、销售收入,,4、2020年度
9,支付给高等院校或科研院所的产学研合作费用不低于20万元（含）,(给高等院校或科研院所的产学研合作)费用,不低于,20万元
9,项目执行期一般不超过3年,(项目)执行期、一般、3年,不超过,
9,申报材料,申报材料,,
9,（1）信用承诺书,(1）信用)承诺书、(信用)承诺书,,1）信用承诺书
9,（2）2021年产学研联合开发项目申报表,(2）2021年产学研联合开发项目)申报表,,2）2021年产学研联合开发项目申报表、
9,（3）产学研项目资金申请报告,(3）产学研项目资金)申请报告、(产学研)项目、申请报告,,3）产学研项目资金申请报告
9,（4）申报单位营业执照复印件,(4）申报单位营业执照)复印件、(申报)单位、复印件,,4）申报单位营业执照复印件
9,（5）企业与具有独立法人资格的合作高校或科研院所签订的申报项目技术合同复印件,(5）企业与具有独立法人资格的合作高校或科研院所签订的申报项目技术合同)复印件、(签订的申报项目技术合同)复印件、(申报)项目、复印件,,5）企业与具有独立法人资格的合作高校或科研院所签订的申报项目技术合同复印件
9,（6）提供企业支付合作方费用的证明材料（发票和汇款单）,企业、费用、材料、发票、汇款单,,6
9,（7）提供项目产品产业化及销售收入证明材料,(项目)产品、销售收入、材料,,7
9,（8）其他有关说明文件,(8）其他有关说明)文件、(其他有关说明)文件,,8）其他有关说明文件
9,如申报单位技术开发能力、项目相关知识产权、专利等证明材料,(申报)单位、能力、(项目相关知识)产权、专利、材料,,
9,工业企业优秀创新产品奖励,(工业)企业、产品,,
9,支持重点与奖励标准,标准,,
9,根据《福州市人民政府关于印发福州市工业企业优秀创新产品奖评审奖励办法的通知》（榕政综〔2017〕1896号）,(福州市人民政府关于印发福州市工业企业优秀创新产品奖评审奖励办法的)通知、榕政,,2017、1896号
9,凡在福州行政辖区内依法登记注册、具有独立法人资格的工业企业,(福州行政)辖区、内、登记注册、(具有独立法人资格的工业)企业、(工业)企业,,
9,其通过原始创新、集成创新和引进消化吸收再创新研制的新产品,(其通过原始创新、集成创新和引进消化吸收再创新研制的新)产品、(创新研制的新)产品、(新)产品,,
9,符合国家产业政策和我市产品结构调整方向,(符合国家产业政策和我市产品结构调整)方向、(我市)产品、结构调整、方向,,
9,质量性能稳定可靠,(质量)性能,,
9,技术水平先进,技术水平,,
9,市场竞争力强,(市场)竞争力,,
9,形成一定销售规模,(一定销售)规模,,
9,申报前一年度申报产品（单一型号）销售收入达一千万元以上,(申报)前、(单一)型号、销售收入、以上,,一千万元
9,近三年内获得与申报产品相关的专利,内、(申报)产品、专利,,三年
9,具有较好经济和社会效益的工业产品(不含软件产品)均可申报福州市工业企业优秀创新产品奖,(较好经济和社会效益的)工业产品、(不含软件)产品、(福州市工业)企业、奖,,
9,符合战略性新兴产业与高技术产业分类的企业产品优先,(战略性)新兴产业、(高技术)产业、(分类的企业)产品、(企业)产品,,
9,福州市工业企业优秀创新产品奖设,(福州市工业)企业、奖,,
9,申报要求,(申报)要求,,
9,产学研专项,,,
9,支持重点与补助标准,(补助)标准,,
9,企业与境内外高校、科研院所围绕战略性新兴产业培育需求,企业、境内外、科研院所、(战略性)新兴产业、需求,,
9,以突破重大产品的关键核心技术和实现产业化为目标,(重大)产品、(关键)核心技术、目标,,
9,围绕传统产业转型升级需求,传统产业、需求,,
9,采用高新技术改造传统产业,高新技术、传统产业,,
9,开发新技术、新产品,(开发新)技术、(新)产品,,
9,所实施的联合技术攻关、科技成果转化项目,(实施的联合)技术、(联合)技术、科技成果、(转化)项目,,
9,对已实现产业化的联合开发项目,(产业化的联合开发)项目、(联合开发)项目,,
9,企业支付给高等院校、科研院所的技术开发合作费用达20万元（含）以上的,(企业支付给高等院校、科研院所的技术开发合作)费用、(技术开发合作)费用、以上,,20万元
9,按照支付金额的50%对企业给予补助,(支付金额的50%对)企业、(50%对)企业,,50%对企业
9,单个企业最高补助50万元,(单个)企业、补助,,50万元
9,申报条件,(申报)条件,,
9,（1）项目申报单位为福州行政辖区内注册、具有独立法人资格的工业和信息化企业,(项目申报)单位、(福州行政)辖区、内、(注册、具有独立法人资格的)工业、(独立)法人资格、工业、(信息化)企业,,1
9,具有较强的技术开发和项目实施能力,(强的)技术开发、(技术开发和项目实施)能力、(实施)能力,,
9,（2）项目应符合国家产业政策,项目、(符合国家)产业政策,,2
9,具有创新性,创新性,,
9,涉及的知识产权归属明晰,(涉及的)知识产权,,
9,能有效带动相关产业转型升级和战略性新兴产业发展,(相关)产业、(战略性)新兴产业,,
9,符合战略性新兴产业与高技术产业分类的项目优先,(战略性)新兴产业、(高技术)产业、(分类的)项目,,
9,（3）项目由企业与高等院校、科研院所共同承担,项目、企业、高等院校、科研院所,,3
9,联合开展实质性的技术开发合作,实质性、技术开发,,
9,并已签订规范技术合同（合同需明确各自承担的任务、研发经费投入比例、研究成果归属、项目起止年限等内容）,(规范技术)合同、合同、(承担的)任务、(研发)经费、(比例、研究成果归属、项目起止年限等)内容、(项目起止)年限、内容,,
9,（4）项目应于2020年度完成并实现项目产品产业化及销售收入,项目、(2020)年度、(项目)产品、销售收入,,4、2020年度
9,支付给高等院校或科研院所的产学研合作费用不低于20万元（含）,(给高等院校或科研院所的产学研合作)费用,不低于,20万元
9,项目执行期一般不超过3年,(项目)执行期、一般、3年,不超过,
9,申报材料,申报材料,,
9,（1）信用承诺书,(1）信用)承诺书、(信用)承诺书,,1）信用承诺书
9,（2）2021年产学研联合开发项目申报表,(2）2021年产学研联合开发项目)申报表,,2）2021年产学研联合开发项目申报表、
9,（3）产学研项目资金申请报告,(3）产学研项目资金)申请报告、(产学研)项目、申请报告,,3）产学研项目资金申请报告
9,（4）申报单位营业执照复印件,(4）申报单位营业执照)复印件、(申报)单位、复印件,,4）申报单位营业执照复印件
9,（5）企业与具有独立法人资格的合作高校或科研院所签订的申报项目技术合同复印件,(5）企业与具有独立法人资格的合作高校或科研院所签订的申报项目技术合同)复印件、(签订的申报项目技术合同)复印件、(申报)项目、复印件,,5）企业与具有独立法人资格的合作高校或科研院所签订的申报项目技术合同复印件
9,（6）提供企业支付合作方费用的证明材料（发票和汇款单）,企业、费用、材料、发票、汇款单,,6
9,（7）提供项目产品产业化及销售收入证明材料,(项目)产品、销售收入、材料,,7
9,（8）其他有关说明文件,(8）其他有关说明)文件、(其他有关说明)文件,,8）其他有关说明文件
9,如申报单位技术开发能力、项目相关知识产权、专利等证明材料,(申报)单位、能力、(项目相关知识)产权、专利、材料,,
9,工业企业优秀创新产品奖励,(工业)企业、产品,,
9,支持重点与奖励标准,标准,,
9,根据《福州市人民政府关于印发福州市工业企业优秀创新产品奖评审奖励办法的通知》（榕政综〔2017〕1896号）,(福州市人民政府关于印发福州市工业企业优秀创新产品奖评审奖励办法的)通知、榕政,,2017、1896号
9,凡在福州行政辖区内依法登记注册、具有独立法人资格的工业企业,(福州行政)辖区、内、登记注册、(具有独立法人资格的工业)企业、(工业)企业,,
9,其通过原始创新、集成创新和引进消化吸收再创新研制的新产品,(其通过原始创新、集成创新和引进消化吸收再创新研制的新)产品、(创新研制的新)产品、(新)产品,,
9,符合国家产业政策和我市产品结构调整方向,(符合国家产业政策和我市产品结构调整)方向、(我市)产品、结构调整、方向,,
9,质量性能稳定可靠,(质量)性能,,
9,技术水平先进,技术水平,,
9,市场竞争力强,(市场)竞争力,,
9,形成一定销售规模,(一定销售)规模,,
9,申报前一年度申报产品（单一型号）销售收入达一千万元以上,(申报)前、(单一)型号、销售收入、以上,,一千万元
9,近三年内获得与申报产品相关的专利,内、(申报)产品、专利,,三年
9,具有较好经济和社会效益的工业产品(不含软件产品)均可申报福州市工业企业优秀创新产品奖,(较好经济和社会效益的)工业产品、(不含软件)产品、(福州市工业)企业、奖,,
9,符合战略性新兴产业与高技术产业分类的企业产品优先,(战略性)新兴产业、(高技术)产业、(分类的企业)产品、(企业)产品,,
9,福州市工业企业优秀创新产品奖设,(福州市工业)企业、奖,,
9,三等奖,三等奖,,
9,其中一等奖1项,(其中)一等奖,,1项
9,二等奖3项,二等奖,,3项
9,三等奖6项,三等奖,,6项
9,分别奖励100万元、50万元、30万元,,,100万元、50万元、30
9,申报条件,(申报)条件,,
9,（1）产品符合国家产业政策和我市产业结构调整方向,(产品)符合国家、产业政策、(我市)产业结构、方向,,1
9,（2）产品具有自主知识产权和核心技术,产品、(自主)知识产权、核心技术,,2
9,2018年至2020年期间获得国家相关专利知识产权证书（以颁发专利或知识产权证书时间为准）,2018年、(至2020年)期间、(国家相关)专利、证书、(专利或知识产权)证书、(知识)产权、时间,,
9,（3）产品技术水平达到国内领先水平,(产品)技术水平、(国内)领先水平,,3
9,（4）产品市场占有率居国内同行业前列,(产品)市场占有率、(国)内、前列,,4
9,单项申报产品2020年销售收入达1000万元,(单项申报)产品、销售收入,,2020年、1000万元
9,具有良好的市场推广前景,(良好的市场推广)前景、(市场推广)前景,,
9,申报材料,申报材料,,
9,（1）信用承诺书,(1）信用)承诺书、(信用)承诺书,,1）信用承诺书
9,（2）福州市工业企业优秀创新产品奖申报表,(2）福州市工业企业优秀创新产品奖)申报表、(福州市工业)企业、申报表,,2）福州市工业企业优秀创新产品奖申报表
9,（3）申报产品2020年度销售列表,(3）申报产品2020年度销售)列表、(申报)产品、列表,,3）申报产品2020年度销售列表
9,（4）产品标准：执行国家标准、行业标准或地方标准的,(4）产品)标准、(产品)标准、国家标准、行业标准、(地方)标准,,4）产品标准
9,应提供标准名称及其编号,(标准)名称,,
9,执行企业标准的,(企业)标准,,
9,应在企业标准信息公共服务平台上自我声明公开,(企业)标准、上、(自我)声明,,
9,法律法规另有规定的除外,法律法规、规定,,
9,（5）检测报告：由通过资质认定的检验检测机构出具的近三年内的检验合格报告,(5）检测)报告、(检测)报告、资质、(认定的检验检测)机构、(检验检测)机构、(出具的近三年内的检验合格)报告、(近)三年、内、(检验合格)报告,,5）检测报告
9,（6）该产品技术达到国内领先水平的相关佐证材料（查新报告或鉴定意见等）的复印件,(6）该产品技术达到国内领先水平的相关佐证材料（查新报告或鉴定意见等）的)复印件、(该)产品、技术、(达到国内领先水平的相关佐证材料（查新报告或鉴定意见等）的)复印件、(相关)佐证、材料、查新、(鉴定)意见、复印件,,6）该产品技术达到国内领先水平的相关佐证材料（查新报告或鉴定意见等）的复印件
9,（7）2020年度企业会计报表,(7）2020年度企业会计)报表、(2020)年度、报表,,7）2020年度企业会计报表、
9,（8）申报单位营业执照复印件及申报产品照片,(8）申报单位营业执照)复印件、(申报)单位、复印件、(申报)产品、照片,,8）申报单位营业执照复印件
9,（9）专利证书、奖励证书等能说明该产品创新及知识产权状况的相关佐证材料,专利证书、(奖励)证书、(该)产品、(创新及知识产权状况的相关佐证)材料、(知识)产权、状况、(相关)佐证、材料,,9
10,申报条件,(申报)条件,,
10,申报留学人员回国创业启动支持计划需同时具备以下条件：,(申报留学)人员、(支持)计划、(以下)条件,,
10,申报人应为所创办企业的法定代表人,申报人、(应为所创办企业的法定代表)人、(创办)企业、(法定代表)人,,
10,在国（境）外获得硕士或博士学位,(国（境）)外、硕士、博士学位,,
10,或具有一年以上博士后工作经历,(一年)以上、博士后、经历,,
10,拥有自主知识产权,(自主)知识产权,,
10,技术创新性强,技术创新,,
10,具有较强市场潜力,市场潜力,,
10,熟悉相关领域和国际规则,(相关)领域、(国际)规则,,
10,具有较强的经营管理能力,(强的经营管理)能力、(经营管理)能力,,
10,有海外自主创业经验者优先考虑,经验,,
10,企业注册时间不早于2018年1月1日,(企业注册)时间、(早于)2018年1月1日,,
10,申报人出资额占企业注册资本的50%以上,(申报人)出资额、(企业)注册资本、(50%)以上,,50%以上
10,申报人现已全职回国,申报人、全职,,
10,在海外无工作,海外,,
10,已获得博士后创新人才支持计划、中国科协青年人才托举工程和其他国家级人才项目资助的留学回国人员不纳入本计划资助范围,(博士后创新)人才、计划、(中国科协)青年、人才、(托举)工程、(其他国家级人才)项目、(资助的留学回国)人员、(留学回国)人员、(本)计划、范围,,
10,本计划往年入选人员不再重复支持,(本)计划、人员,,
10,申报人不得在多个地区同时申报,申报人、(多个)地区,,多个地区
10,2021年,2021年,,
10,本计划将聚焦国家重大战略领域,(本)计划、(国家重大战略)领域,,
10,资助优秀留学人员创办企业,(优秀)留学人员、企业,,
10,加大对西部和东北地区留学回国人员创业的支持力度,西部、东北地区、(留学回国)人员、力度,,
10,对省部共建留学人员创业园内的创业企业予以适当倾斜,(省)部、(共建留学人员创业)园内、(创业)园内、(创业)企业,,
11,培训对象,(培训)对象,,
11,各县（市、区）、市本级三大产业组团工信主管部门分管人事人才工作领导和业务经办人员、企业有关负责人等（详见附件1）,(各县（市、区）、市本级三大)产业、工、(主管部门分管人事人才工作)领导、(工作)领导、(业务)经办人员、企业、(有关)负责人、附件,,三大、1
12,遴选目标,(遴选)目标,,
12,通过支持一批高技术、高成长、强引领的团队,团队,,一批
12,培育出一批实体经济“单项冠军”“专精特新”企业,(培育出一批实体经济“单项)冠军、(单项)冠军、(新”)企业,,一批
12,引领产业集群发展,产业,,
12,本次遴选的团队,团队,,
12,其所在企业一般应为初创期或成长期的中小企业,(其所在)企业、初创期、成长期,,
12,遴选名额,(遴选)名额,,
12,本次计划遴选不超过20个产业领军团队,(本次)计划、遴选、团队,不超过,20个
12,原则上全省入选的团队中,原则上、全省、(入选的)团队、(团队)中,,
12,厦门不高于10%,厦门,不高于,10%
12,龙岩、三明、南平、宁德和平潭的总量不低于20%,(龙岩、三明、南平、宁德和平潭的)总量,不低于,三明、20%
12,资格条件,(资格)条件,,
12,按照《福建省产业领军团队遴选和支持办法(试行)》（闽委人才〔2020〕3号文）的“资格条件”要求执行,(福建省)产业、团队、(遴选和支持办法(试行)》（闽委人才〔2020〕3号文）的“资格)条件、(支持)办法、(闽委)人才、3号、(资格)条件,,2020
13,重点支持领域,领域,,
13,工业（申报代码：2020H6201）,(工业（申报)代码、(申报)代码,,2020H6201
13,新一代信息技术,(新一代信息)技术,,
13,新一代通信网络系统与设备技术,(新一代通信网络)系统、(设备)技术,,
13,5G通信技术和产品,(5G通信)技术、产品,,
13,IPv6技术、产品和应用,(IPv6)技术、产品,,
13,卫星应用（含通信、导航和遥感）技术,卫星、(应用（含通信、导航和遥感）)技术,,
13,数字家庭网络设备,(数字家庭网络)设备,,
13,高精度授时技术,(高)精度、技术,,
13,高性能服务器,(高性能)服务器,,
13,移动互联网、工业控制系统、信息安全、集成电路设计制造封装、智慧农林应用以及特色应用软件,(移动)互联网、工业、(控制)系统、信息安全、集成电路、智慧、特色、(应用)软件,,
13,云计算、大数据、物联网和人工智能技术,大数据、物联网、(人工)智能、技术,,
13,新型显示技术,技术,,
13,虚拟现实（VR）、增强现实（AR）、混合现实（MR）技术,(虚拟)现实、VR、现实、AR、现实、MR、技术,,
13,智能驾驶技术,(智能驾驶)技术,,
13,自主无人技术,(自主无人)技术,,
13,核心芯片和元器件技术,(核心)芯片、元器件、技术,,
13,计算机视觉和模式识别、自然语言处理、区块链、数字孪生等新技术,(计算机)视觉、模式识别、自然语言处理、区块链、(数字孪生等新)技术、(新)技术,,
13,新材料,新材料,,
13,稀土永磁、储氢、发光、催化等高性能稀土功能材料,(稀土永磁、储氢、发光、催化等高性能稀土功能)材料、(高性能稀土)功能、材料,,
13,硬质合金、功能涂层,(硬质)合金、(功能)涂层,,
13,耐高温、耐腐蚀等高端装备用材料,高温、高端、(备用)材料,,
13,含氟聚合物新材料、含氟中间体及精细化学品材料,(含氟)聚合物、材料、(含氟)中间、(精细)化学品、材料,,
13,碳纤维、芳纶、无机非金属等高性能纤维及复合材料,(碳纤维、芳纶、无机非金属等高性能)纤维、(无机非)金属、(高性能)纤维、复合材料,,
13,高效纳米催化材料,(高效)纳米、材料,,
13,高性能海工用钢、高品质不锈钢、高强轻型合金与特种金属材料,(高性能)海、钢、(高品质)不锈钢、(高强轻型)合金、(特种)金属材料,,
13,高品质玻璃板材、特种陶瓷材料,(高品质)玻璃、板材、(特种)陶瓷材料,,
13,增材制造专用金属粉末、陶瓷粉末、光敏树脂、工程塑料、聚合物阻燃与防火材料,金属粉末、(陶瓷)粉末、(光敏)树脂、工程塑料、聚合物、(防火)材料,,
13,应用石墨烯改性的功能材料,(应用石墨烯改性的)功能、(功能)材料,,
13,先进能源材料,(先进能源)材料,,
13,新型锂离子动力电池材料,(新型锂离子动力电池)材料,,
13,新型激光晶体和非线性光学晶体,(新型激光)晶体、(非线性光学)晶体,,
13,半导体光电材料,(半导体光电)材料,,
13,高端装备制造,(高端)装备,,
13,先进轨道交通装备、航空装备、高档数控机床、传感器和智能化仪器仪表,(先进轨道交通)装备、(航空)装备、(高档)数控机床、传感器、(智能化)仪器仪表,,
13,伺服装置和控制系统、智能测控装置与部件、智能机器人核心零部件、智能机器人、智能化制造装备及智能化生产线,(控制)系统、智能、装置、部件、(智能)机器人、零部件、(智能)机器人、(制造)装备、(智能化)生产线,,
13,新能源装备,(新能源)装备,,
13,高速精密重载传动装置,(高速精密重载)传动装置,,
13,高速高压液压元器件,(高速高压液压)元器件,,
13,高可靠性密封件,高可靠性,,
13,大型精密模具,(大型精密)模具,,
13,汽车轻量化高强钢先进成形技术与装备,汽车、(高强)钢、技术、装备,,
13,增材制造/再制造装备,(制造)装备,,
13,铸、锻,,,
