sentence,entity,compare,num
5#按照《福建省产业领军团队遴选和支持办法(试行)》（闽委人才〔2020〕3号文）的“资格条件”要求执行,(福建省)产业、团队、(遴选和支持办法(试行)》（闽委人才〔2020〕3号文）的“资格)条件、(支持)办法、(闽委)人才、3号、(资格)条件,,2020
6#省级高新技术企业备案,(省级高新技术)企业,,
6#申报范围,(申报)范围,,
6#符合《扶持办法》的第五条规定,(扶持)办法,,第五条
6#有效期内或证书有效期后一年内的国家高新技术企业不再列入省级高新技术企业培育库,(有效期)内、(证书)有效期、(国家高新技术)企业、(省级高新技术)企业、库,,
6#企业可以同时申报省级高新技术企业入库备案和国家高新技术企业认定,企业、(省级高新技术)企业、(国家高新技术)企业,,
6#当年入库备案和认定均通过的,当年,,
6#照常享受省级高新技术企业奖补政策,(省级高新技术)企业、奖、政策,,
6#各设区市（含平潭综合实验区,(各)设区市、平潭、(综合)实验区,,
6#下同）上报推荐入库备案企业名单时间,(企业名单)时间,,
6#各设区市高新技术企业备案管理部门自行发布本地区申报通知,(各设区市高新技术企业备案管理)部门、(本)地区、通知,,
6#组织企业申报,(组织)企业,,
6#推荐上报入库备案企业名单截止时间为7月15日,(入库备案)企业名单、时间、7月15日,,
6#申报程序,(申报)程序,,
6#申报企业,(申报)企业,,
6#（1）企业根据《扶持办法》第五条进行自我评价,企业、(扶持)办法,,1、第五条
6#自评符合入库要求的,要求,,
6#向所在地科技管理部门提出入库备案申请,(所在地科技管理)部门、(管理)部门,,
6#（2）申报企业应登录省科技厅门户网站（http://kjt.fujian.gov.cn/）,(申报)企业、(省)科技厅、门户网站,,2
6#点击“福建省高新技术企业管理系统”（以下简称“省高企管理系统”）链接栏目进行注册登记,(福建省高新技术)企业、以下、(省)高企、系统、(链接)栏目,,
6#并按《实施细则》第三点要求提交申报材料（材料详细清单见各设区市高新技术企业备案管理部门发布的申报通知）,(实施细则》第三点)要求、申报材料、(材料详细)清单、(高新技术)企业、部门、(发布的申报)通知、(申报)通知,,第三点
6#（3）申报企业可自行选择委托符合《实施细则》规定条件的中介机构出具专项审计或鉴证报告,(申报)企业、实施细则、条件、中介机构、(专项审计或鉴证)报告,,3
6#（4）申报企业应对申报材料的真实性负责,(申报)企业、(申报材料的)真实性,,4
6#若存在弄虚作假行为,(弄虚作假)行为,,
6#一经发现并查实,,,
6#将按照《扶持办法》的相关规定取消资格,(扶持)办法、(相关)规定、资格,,
6#自取消之日起一年内不可申报省级高新技术企业备案,之日起、(一年)内、(省级高新技术)企业,,
6#专项审计（鉴证）中介机构,鉴证、中介机构,,
6#（1）中介机构根据《实施细则》第一点要求进行自我评价,中介机构、(实施细则》第一点)要求,,1、第一点
6#自评符合条件的,符合条件,,
6#应登录“省高企管理系统”进行注册登记,(省)高企、系统,,
6#按要求上传相关资质证明材料,要求、(相关)资质、材料,,
6#中介机构应对所提供材料的真实性负责,中介机构、(应对所提供材料的)真实性、(提供)材料、真实性,,
6#（2）中介机构应加强对《扶持办法》和《实施细则》的学习,中介机构、(扶持)办法、实施细则,,2
6#严格依据《扶持办法》和《实施细则》要求客观公正地对企业的研发费用、高新技术产品（服务）收入进行专项审计或鉴证,(扶持)办法、实施细则、(客观公正地对企业的研发)费用、(对企业的研发)费用、(研发)费用、(高新技术)产品、收入、鉴证,,
6#出具专项审计或鉴证报告时应附上加盖机构公章及机构负责人签章的《中介机构信息备案表》,(专项审计或鉴证)报告、(加盖机构公章及机构负责人签章的《中介机构信息备案)表、(机构)负责人、签章、(中介机构)信息、(备案)表,,
6#中介机构及相关人员报告中存在严重失误或弄虚作假等行为的,(中介机构及相关人员)报告、(相关)人员、中、(失误或弄虚作假等)行为,,
6#省备案管理部门将按照《实施细则》要求,(省备案管理)部门、(实施细则》)要求,,
6#在省高新技术企业管理工作网站上公告,(省高新技术)企业、上、公告,,
6#自公告之日起三年内不得参与省级高新技术企业备案相关工作,(公告)之日起、内、(省级高新技术)企业,,
6#设区市高新技术企业备案管理部门,(设区市高新技术企业备案管理)部门、(备案管理)部门,,
6#（1）各设区市高新技术企业备案管理部门应登录“省高企管理系统”,(各设区市高新技术企业备案管理)部门、(备案管理)部门、(省)高企、系统,,1
6#对本地区申报企业提交的材料进行形式审查,(本)地区、企业、(提交的)材料、形式,,
6#提出拟提交专家评审的《省级高新技术企业备案申请企业名单》（附件1）,专家、(省级高新技术)企业、企业名单、附件,,1
6#（2）各设区市高新技术企业备案管理部门应按照《扶持办法》和《实施细则》的有关规定,(各设区市高新技术企业备案管理)部门、(备案管理)部门、(扶持)办法、实施细则、(有关)规定,,2
6#组织专家对申报企业进行评审,(组织)专家、(申报)企业,,
6#评审专家应从省级科技计划项目管理系统专家库中选取,(评审)专家、项目、(管理)系统、中,,
6#（3）各设区市高新技术企业备案管理部门在推荐入库备案企业名单截止时间前将本地区《推荐入库备案企业名单》（附件2）、《入库备案企业奖补建议汇总表》（附件3）同时加盖科技、工信、财政等三部门公章后上报省高新技术企业备案管理部门,(各设区市高新技术企业备案管理)部门、(备案管理)部门、(备案)企业名单、(截止)时间、前、(本)地区、(备案)企业名单、附件、(入库备案企业)奖、汇总表、附件、(科技、工信、财政等三)部门、(三)部门、公章、后、(省高新技术)企业、部门,,3、2、3、
6#并留存企业申报材料,(企业)申报材料,,
8#申报项目申报条件,(申报)项目、条件,,
8#2020年疫情防控常态化情况下,(2020年)疫情、下,,
8#组织举办国家级产业发展论坛系列活动等营销推广莆田区域品牌,(国家级)产业、论坛、系列、(莆田)区域、品牌,,
8#或在市内组织10家以上鞋业自主品牌企业或100家以上工艺美术企业（其中规模以上制造业企业5家以上）参与产供销对接、上下游互动、线上线下推介、抱团营销等“手拉手”活动,市内、企业、企业、(其中规模以上制造业)企业、以上、(线)上线、下,,10家、100家、
8#或在市内组织20家以上莆田市“名优地产品”展销活动的本市机关企事业单位、行业协会,市内、(组织20家以上莆田市“名优地产品”展销活动的本市机关企事业)单位、(名优)地产品、(本市)机关、单位、(行业)协会,,20家
8#奖励标准单项活动相关费用超过150万元的予以一次性30万元奖励,(奖励标准单项活动相关)费用,,150万元、30万元
8#100万元至150万元的予以一次性20万元奖励,,,100万元、150万元、
8#50万元至100万元的予以一次性10万元奖励,,,50万元、100万元、100万元
8#同一单位同年度奖励最高不超过30万元,(同一)单位、年度,,30万元
8#申报材料举办“手拉手”活动奖励申请表（附件1）,申报材料、(活动奖励)申请表、附件,,1
8#营业执照、社团法人证或统一社会信用代码证书复印件,营业执照、(社团)法人证、(社会信用)代码、复印件,,
8#奖励资金申请报告,(资金)申请报告,,
8#活动方案及报市工信局备案报告（以活动举办前报送市工信局的备案报告为准,(活动)方案、(报市工)信局、(备案)报告、前、(报送市工信局的备案)报告、(备案)报告,,
8#备案时间自2020年1月起）,(备案)时间、2020年1月、起,,
8#活动现场彩色照片2张,(活动)现场、彩色照片,,2张
8#活动相关费用发票复印件及汇总表,(相关)费用、复印件、汇总表,,
8#参展企业名单及相关证明材料,企业名单、(相关证明)材料,,
8#企业声明（附件2）,(企业)声明、附件,,2
12#申报条件,(申报)条件,,
12#案例申报主体包括制造企业、信息技术企业、互联网企业、电信运营商、移动物联网应用企业等,(案例申报)主体、(制造)企业、(信息)技术、企业、(互联网)企业、(电信)运营商、动物、(联网应用)企业,,
12#申报主体应在中华人民共和国境内注册登记、具有独立法人资格,(申报)主体、(中华人民共和国)境内、(独立)法人资格,,
12#近三年财务状况良好,(近)三年、财务状况,,
12#在质量、安全、信誉和社会责任等方面无不良记录,(质量、安全、信誉和社会责任等)方面、(社会)责任、方面、(不良)记录,,
12#案例应具有较高技术水平、完整解决方案和成熟商业模式,案例、(高)技术水平、(完整解决)方案、(成熟)商业模式,,
12#具有较强的代表性、示范性、创新性和可推广性,(强的)代表性、示范性、创新性、推广性,,
12#能充分体现移动物联网的技术特点和适用场景,移动物、(联网的技术)特点、(技术)特点、(适用)场景,,
12#对相关行业或企业具有较强借鉴意义和推广价值,(相关)行业、企业、(意义和推广)价值,,
14#科技企业孵化器认定条件,(科技)企业、孵化器、条件,,
14#在厦门市注册,厦门市,,
14#具有独立法人资格,(独立)法人资格,,
14#财务独立核算,财务,,
14#可自主支配的孵化场地使用面积不少于7500平方米（专业孵化器不少于4000平方米）,(支配的孵化)场地、(孵化)场地、(使用)面积、(专业)孵化器,不少于、不少于,不少、7500平方米、不少、4000平方米
14#其中租用场地的租期5年及以上,(其中租用场地的租期)5年、(租期)5年、以上,,
14#在孵企业不少于15家（专业孵化器在孵企业不少于10家）,(孵)企业、(专业)孵化器、(孵)企业,不少于、不少于,不少、15家、不少、10家
14#已开展过针对在孵企业的创业培训、辅导、咨询,企业,,
14#提供研发、试制以及政策、法律、财务、投融资、企业管理、人力资源、市场推广和加速成长等方面的服务,(研发、试制以及政策、法律、财务、投融资、企业管理、人力资源、市场推广和加速成长等)方面,,
15#提名推荐奖种及推荐名额,推荐奖、(推荐)名额,,
15#2020年度省科技奖可提名推荐奖种包括：省科学技术重大贡献奖、省自然科学奖、省技术发明奖、省科学技术进步奖（含企业技术创新工程项目）、省科学技术成果转化奖（本年度新增项目）,(2020)年度、科技奖、推荐奖、(省)科学技术、贡献奖、(省)自然科学奖、(省)技术、发明奖、(省)科学技术、进步奖、(企业技术创新)工程项目、(省)科学技术、成果、(转化)奖、(本)年度、项目,,2020年度
15#省奖励办下达我局推荐指标为50项,省、(我)局、指标,,50项
15#申报要求,(申报)要求,,
15#1、请申报单位认真阅读《通知》及《2020年度福建省科学技术奖提名推荐书格式与填写说明》（下称《填写说明》,(申报)单位、(认真阅读《)通知、(2020)年度、格式、下,,1、2020年度
"15#在奖励系统http://kjjl.kjt.fujian.gov.cn/首页“通知公告”及“相关下载”中下载）,登录福建省科学技术奖励管理信息系统进行网上申报",(奖励)系统、首页、通知、中、(福建省)科学技术、系统、网上,,
15#未注册的用户,(未注册的)用户,,
15#须先进行在线注册登记,,,
15#2、凡涉及国防、国家安全及由于国家安全、保密等原因不能公开的项目和软科学项目,国防、国家、(由于国家安全、保密等原因不能公开的)项目、(安全、保密等)原因、(公开的)项目、(软科学)项目,,2
15#不属于省科技奖表彰范围,(省)科技奖、范围,,
15#对生态环境造成污染危害或影响社会公共利益（如食品安全和公共安全等）的项目不予受理,生态环境、(造成污染危害或影响社会公共利益（如食品安全和公共安全等）的)项目、(危害或影响社会公共利益（如食品安全和公共安全等）的)项目、(社会)公共利益、食品安全、公共安全、项目,,
15#财政经费支持的各类计划项目需提交计划下达单位对整体项目的结题或验收证明等材料,(财政)经费、(支持的各类计划项目需提交)计划、(各类计划)项目、计划、(单位对整体项目的结题或验收证明等)材料、(证明等)材料,,
15#3、申报的项目须严格按《通知》要求进行公示,(申报的)项目、通知,,3
15#并将公示结果的书面文件扫描件作为附件上传奖励系统“其他证明”栏目,(公示)结果、(书面)文件、附件、(上传奖励)系统、栏目,,
15#申报单位在网上提交后（包括：个人提交与单位提交）,(申报)单位、网上、(提交)后、个人、单位,,
15#及时通知我局人事处上网审核,(我)局、人事处,,
15#4、按照福州市行政服务中心入驻事项录入要求,福州市行政服务中心、(入驻)事项、要求,,4
15#请各申报单位在网上提交后,(请各申报单位在网上提交)后,,
15#即填写《省科技奖申报单位信息表》（见附件1）,(省)科技奖、表、附件,,1
15#于,,,
15#12月31日前发至邮箱51830213@qq.com,日前、邮箱,,12月31、51830213@
15#5、纸质提名推荐书要求：提名推荐书包括主件和附件,纸质、推荐书、主件、附件,,5
15#纸质提名推荐书主件与电子提名推荐书主件应完全一致,纸质、书主、电子、主件,,
15#从系统中直接生成并打印,(系统)中,,
15#每页右下角应有条形码,(每页)右下角、条形码,,
15#附件复印件按要求提供,(附件)复印件、要求,,
15#纸质提名推荐书主件和附件一并装订成册（单双面不限）,(纸质提名推荐书)主件、附件、装订成册、单双面,,
15#纸张规格A4,(纸张)规格,,
15#竖向左侧装订,左侧,,
15#不要另加封面,封面,,
15#脊背处贴上提名推荐书首页中的“专业评审组”的名称和编号（提名推荐单位审核提交后系统自动生成的编号）,(脊背)处、(推荐书)首页、(专业)评审组、名称、编号、单位、后、系统、(生成的)编号,,
15#原件1,原件,,1
15#份,,,
16#申报对象,(申报)对象,,
16#根据《三明市进一步加快人才集聚若干措施》的规定,三明市、(加快人才集聚若干措施》的)规定、(若干)措施、规定,,若干措施
16#在本市工作的现有国家人才专项计划人选,(在本市工作的现有国家人才专项计划)人选、(现有国家人才专项计划)人选,,
16#国家有突出贡献的中青年专家,国家、(有突出贡献的中青年)专家、(中青年)专家,,
16#享受政府特殊津贴专家,(享受政府特殊津贴)专家,,
16#百千万人才工程国家级人选,(百千万人才工程国家级)人选,,百千万人才工程国家级人选
16#在职期间可享受当地政府每人每月1000元补助,(在职)期间、(当地政府每人每月1000元)补助,,1000元
16#省“海纳百川”高端人才聚集计划人选,(省“海纳百川”高端)人才、(海纳百川”高端)人才、(高端)人才、人选,,
16#市拔尖人才,(市拔尖)人才,,
16#在职期间可享受当地政府每人每月800元补助,(在职)期间、(当地政府每人每月800元)补助,,800元
16#具有博士学位人员,(博士学位)人员,,
16#硕士学位的留学回国人员和市重点企业高级技师,硕士学位、(留学回国)人员、(市重点)企业、高级技师,,
16#在职期间可享受当地政府每人每月500元补助,(在职)期间、(当地政府每人每月500元)补助,,500元
16#特级教师,特级教师,,
16#具有正高级职称的专业技术人员,(高级职称的专业)技术人员、(专业)技术人员,,
16#在职期间可享受当地政府每人每月300元补助,(在职)期间、(当地政府每人每月300元)补助,,300元
16#参加本市城镇养老保险的企业中具有副高职称及以上专业技术人员,(参加本市城镇养老保险的)企业、(企业)中、(副高)职称、(以上)专业、技术人员,,
16#到达法定退休年龄、符合在本市领取养老金条件,(法定)退休年龄、(养老金)条件,,
16#可选择申请延长退休或退休后被企业返聘,(可选择申请延长退休或退休)后、企业,,
16#可享受在职同类人员同等待遇,(在职同类)人员,,
17#申报要求申报条件制造业投资项目按现行投资管理规定完成备案或核准,(申报)要求、项目,,
17#已开工建设,,,
17#并已列入福建省重点技术改造项目库或列为省级工业和信息化龙头企业的制造业项目,(福建省重点技术改造)项目库、(省级)工业、(信息化)龙头企业、(制造业)项目,,
17#2019年8月1日至2020年7月31日期间购置的设备（含技术和软件）金额1000万元以上,2019年8月1日、(至2020年7月31日)期间、(购置的)设备、技术、软件、金额,,1000万元以上
17#项目承担企业（或新建项目的控股投资方）2019年或2020年已缴税收（含政策性税收优惠及退税部分）在200万元以上,项目、企业、(新建)项目、(控股)投资方、2019年、2020年、税收、(政策性)税收、(退税)部分、以上,,200万元
17#企业自觉遵守安全生产、环保相关规定,(企业)自觉遵守、(相关)规定,,
17#支持重点与补助标准,(补助)标准,,
17#重点支持企业设备更新、科技成果转化、产品升级换代、发展新兴产业等技术改造项目建设,(企业)设备、(更新、科技成果转化、产品升级换代、发展新兴产业等技术改造)项目、(技术改造)项目,,
17#优先支持龙头企业、项目投资大的企业、高成长企业、高技术企业,龙头企业、项目、(投资大的)企业、(成长)企业、(高)技术、企业,,
17#对符合条件的项目,(对符合条件的)项目,,
17#按项目设备投资额的5%给予补助,(项目)设备、投资额,,5%
17#单家企业最高不超过200万元,企业,,200万元
17#租赁合同明确合同到期后固定资产产权归属企业的融资租赁方式可视同采购设备享受技改补助政策,(租赁)合同、合同、(到期)后、(固定资产)产权、(融资租赁)方式、设备、(技改补助)政策,,
17#申报材料福建省企业技术改造设备投资专项资金申请表（附件1）,(申报材料福建省企业技术改造)设备、申请表、附件,,1
17#福建省企业技术改造设备投资额情况汇总表（附件2）,(福建省)企业、汇总表、附件,,2
17#项目审批（备案或核准）文件复印件,项目、(文件)复印件,,
17#税务机关出具的企业2019年或2020年已缴税收证明材料,税务机关、(出具的)企业、(企业)2019年、2020年、税收、材料,,
17#购置设备发票复印件（需发票汇总表）,(设备)发票、复印件、(发票)汇总表,,
17#通过融资租赁方式实施技术改造的项目,(融资租赁)方式、(技术改造的)项目,,
17#须提供设备租赁合同,(设备租赁)合同,,
17#营业执照复印件,(营业执照)复印件,,
17#申报要求申报条件制造业投资项目按现行投资管理规定完成备案或核准,(申报)要求、项目,,
17#已开工建设,,,
17#并已列入福建省重点技术改造项目库或列为省级工业和信息化龙头企业的制造业项目,(福建省重点技术改造)项目库、(省级)工业、(信息化)龙头企业、(制造业)项目,,
17#2019年8月1日至2020年7月31日期间购置的设备（含技术和软件）金额1000万元以上,2019年8月1日、(至2020年7月31日)期间、(购置的)设备、技术、软件、金额,,1000万元以上
17#项目承担企业（或新建项目的控股投资方）2019年或2020年已缴税收（含政策性税收优惠及退税部分）在200万元以上,项目、企业、(新建)项目、(控股)投资方、2019年、2020年、税收、(政策性)税收、(退税)部分、以上,,200万元
17#企业自觉遵守安全生产、环保相关规定,(企业)自觉遵守、(相关)规定,,
17#支持重点与补助标准,(补助)标准,,
17#重点支持企业设备更新、科技成果转化、产品升级换代、发展新兴产业等技术改造项目建设,(企业)设备、(更新、科技成果转化、产品升级换代、发展新兴产业等技术改造)项目、(技术改造)项目,,
17#优先支持龙头企业、项目投资大的企业、高成长企业、高技术企业,龙头企业、项目、(投资大的)企业、(成长)企业、(高)技术、企业,,
17#对符合条件的项目,(对符合条件的)项目,,
17#按项目设备投资额的5%给予补助,(项目)设备、投资额,,5%
17#单家企业最高不超过200万元,企业,,200万元
17#租赁合同明确合同到期后固定资产产权归属企业的融资租赁方式可视同采购设备享受技改补助政策,(租赁)合同、合同、(到期)后、(固定资产)产权、(融资租赁)方式、设备、(技改补助)政策,,
17#申报材料福建省企业技术改造设备投资专项资金申请表（附件1）,(申报材料福建省企业技术改造)设备、申请表、附件,,1
17#福建省企业技术改造设备投资额情况汇总表（附件2）,(福建省)企业、汇总表、附件,,2
17#项目审批（备案或核准）文件复印件,项目、(文件)复印件,,
17#税务机关出具的企业2019年或2020年已缴税收证明材料,税务机关、(出具的)企业、(企业)2019年、2020年、税收、材料,,
17#购置设备发票复印件（需发票汇总表）,(设备)发票、复印件、(发票)汇总表,,
17#通过融资租赁方式实施技术改造的项目,(融资租赁)方式、(技术改造的)项目,,
17#须提供设备租赁合同,(设备租赁)合同,,
17#营业执照复印件,(营业执照)复印件,,
18#提名条件,(提名)条件,,
18#省科学技术重大贡献奖,(科学技术)重大贡献、奖,,
18#提名为省科技重大贡献奖的候选人,(为省科技重大贡献奖的)候选人,,
18#应在我省科学技术创新、科学技术成果转化中,(我省科学)技术创新、(科学)技术成果、(转化)中,,
18#创造出特别重大的经济效益或社会效益,(重大的)经济效益、社会效益,,
18#为我省经济建设与社会发展做出特殊贡献,(我省)经济、社会、(特殊)贡献,,
18#或应在当代科学技术前沿取得重大突破、在科学技术发展中有突出建树,(当代)科学技术、前沿、(科学)技术、(发展)中、(突出)建树,,
18#候选人原则上应作为第一完成人获得过国家科学技术奖,(候选人)原则上、(第一)完成人、(国家)科学技术、奖,,第一完成人
18#省自然科学奖,(省自然科学)奖,,
18#提名省自然科学奖的项目,(提名省自然科学奖的)项目,,
18#应在基础研究和应用基础研究中阐明自然现象、特性和规律,基础、(研究和应用基础研究)中、自然现象、特性、规律,,
18#做出重大科学发现,(重大)科学,,
18#具有较强的前瞻性、理论性,(强的)前瞻性、理论性,,
